token	direction	global_count	eligible_blocks	joint_classes	pairwise_js_mean	pairwise_js_median	pairwise_js_min	pairwise_js_sd	lobo_median_correlation	lobo_mean_correlation	lobo_median_spearman	sign_agreement	permutation_p	sign_permutation_p	entropy_effect	entropy_sign_consistency	entropy_permutation_p	entropy_status	replicated
x000007	incoming	254	8	3	0.9930178261	0.993653091	0.9899405304	0.001282106989	0.5441748842	0.5557171096	0.3527262588	0.8094867807	0.01898101898	0.04895104895	0.3717611755	1	0.8921078921	INSUFFICIENT_SUPPORT	true
x000008	incoming	252	9	4	0.9940191855	0.9937803121	0.9920716503	0.001202829383	0.5872579762	0.595734266	0.4274374889	0.8399861759	0.5754245754	0.5564435564	0.3822653741	1	0.3486513487	INSUFFICIENT_SUPPORT	false
x000009	incoming	256	10	4	0.9927855512	0.9932022318	0.9892403309	0.001599128769	0.6043930924	0.5949217472	0.4349932169	0.8143079316	0.02797202797	0.4205794206	0.3740629544	1	0.989010989	INSUFFICIENT_SUPPORT	false
x000010	incoming	233	6	4	0.993206065	0.9932022318	0.9919631352	0.000848862541	0.5632850531	0.5567983391	0.4022450452	0.8525142561	0.01898101898	0.05394605395	0.3912887098	1	0.6573426573	INSUFFICIENT_SUPPORT	false
x000012	incoming	229	1	1	0	0	1	0	0	0	0	0.1570762053	0.000999000999	0.000999000999	0.449349845	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000018	incoming	230	1	1	0	0	1	0	0	0	0	0.3141524106	0.000999000999	0.000999000999	0.3537263846	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000021	incoming	215	3	2	0.9942198507	0.9942198507	0.9942198507	0	0.484002882	0.4721735592	0.3723687618	0.8387765682	0.4165834166	0.955044955	0.4164347315	1	0.3976023976	INSUFFICIENT_SUPPORT	false
x000022	incoming	210	2	2	0.9942198507	0.9942198507	0.9942198507	0	0.3605483671	0.3605483671	0.2815983742	0.8382581649	0.000999000999	0.000999000999	0.3632373108	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000023	incoming	241	1	1	0	0	1	0	0	0	0	0.1741835148	0.000999000999	0.000999000999	0.4163934233	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000024	incoming	226	1	1	0	0	1	0	0	0	0	0.3125972006	0.000999000999	0.000999000999	0.3669170817	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000025	incoming	201	1	1	0	0	1	0	0	0	0	0.1430793157	0.000999000999	0.000999000999	0.384676703	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000026	incoming	203	6	3	0.9942287132	0.9942198507	0.9930911142	0.0008635967365	0.6000165562	0.6011586565	0.4343813818	0.8276308968	0.5514485514	0.5334665335	0.3942879369	1	0.8191808192	INSUFFICIENT_SUPPORT	false
x000027	incoming	202	6	4	0.993798542	0.9937680203	0.9921840985	0.0008316861814	0.5644382694	0.5564664774	0.3941466991	0.8284085018	0.1258741259	0.3536463536	0.3903147004	1	0.992007992	INSUFFICIENT_SUPPORT	false
x000028	incoming	230	9	4	0.9936879094	0.993653091	0.993085	0.0005643358364	0.5988267165	0.5970458859	0.4281511588	0.8667703473	0.1498501499	0.3016983017	0.395106082	1	0.8091908092	INSUFFICIENT_SUPPORT	false
x000029	incoming	233	9	4	0.9940921058	0.9942198507	0.993085	0.0005514535114	0.5924093098	0.5829999179	0.4157594195	0.8479350268	0.3416583417	0.1638361638	0.3893830402	1	0.0999000999	INSUFFICIENT_SUPPORT	false
x000030	incoming	223	10	3	0.9932115984	0.9930911142	0.9904112964	0.001337725166	0.6036176721	0.6016958419	0.4382891131	0.8721617418	0.4195804196	0.1858141858	0.3982186195	1	0.8731268731	INSUFFICIENT_SUPPORT	false
x000031	incoming	143	2	2	0.9932016708	0.9932016708	0.9932016708	0	0.3638232894	0.3638232894	0.2775617845	0.8242612753	0.000999000999	0.000999000999	0.4063557776	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000032	incoming	132	1	1	0	0	1	0	0	0	0	0.3437013997	0.000999000999	0.000999000999	0.3627490456	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000033	incoming	150	1	1	0	0	1	0	0	0	0	0.1306376361	0.000999000999	0.000999000999	0.3747961711	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000041	incoming	131	1	1	0	0	1	0	0	0	0	0.1695178849	0.000999000999	0.000999000999	0.4239221696	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000042	incoming	134	1	1	0	0	1	0	0	0	0	0.1710730949	0.000999000999	0.000999000999	0.4163934233	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000051	incoming	101	1	1	0	0	1	0	0	0	0	0.1539657854	0.000999000999	0.000999000999	0.4490175262	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000052	incoming	112	5	4	0.99429429	0.993905074	0.9933161899	0.0008047531409	0.5400426712	0.5499287419	0.3678673243	0.8730948678	0.8641358641	0.994005994	0.4182900721	1	0.4505494505	INSUFFICIENT_SUPPORT	false
x000054	incoming	103	1	1	0	0	1	0	0	0	0	0.1524105754	0.000999000999	0.000999000999	0.4393801027	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000055	incoming	132	3	2	0.9939549981	0.993653091	0.9931579656	0.0009833812465	0.5386879428	0.5401723563	0.3829415553	0.8652151374	0.1708291708	0.3536463536	0.4688653391	1	0.8611388611	INSUFFICIENT_SUPPORT	false
x000056	incoming	98	1	1	0	0	1	0	0	0	0	0.1430793157	0.000999000999	0.000999000999	0.3981111567	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000057	incoming	115	1	1	0	0	1	0	0	0	0	0.167962675	0.000999000999	0.000999000999	0.3714413904	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000058	incoming	113	1	1	0	0	1	0	0	0	0	0.1772939347	0.000999000999	0.000999000999	0.4145380827	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000063	incoming	110	5	3	0.9940089844	0.9939522396	0.9931121273	0.0005499283552	0.5855415043	0.5820603507	0.4092787904	0.86718507	0.6773226773	0.2437562438	0.4218196883	1	0.7702297702	INSUFFICIENT_SUPPORT	false
x000064	incoming	100	1	1	0	0	1	0	0	0	0	0.1804043546	0.000999000999	0.000999000999	0.4688653391	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000065	incoming	80	1	1	0	0	1	0	0	0	0	0.1493001555	0.000999000999	0.000999000999	0.3893830402	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000067	incoming	79	1	1	0	0	1	0	0	0	0	0.3452566096	0.000999000999	0.000999000999	0.3808101348	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000077	incoming	74	1	1	0	0	1	0	0	0	0	0.1772939347	0.000999000999	0.000999000999	0.4688653391	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000079	incoming	75	1	1	0	0	1	0	0	0	0	0.1648522551	0.000999000999	0.000999000999	0.3658137532	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000084	incoming	70	1	1	0	0	1	0	0	0	0	0.1648522551	0.000999000999	0.000999000999	0.4172781732	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000093	incoming	78	1	1	0	0	1	0	0	0	0	0.1617418351	0.000999000999	0.000999000999	0.4493722788	1	0.000999000999	INSUFFICIENT_SUPPORT	false
x000094	incoming	71	1	1	0	0	1	0	0	0	0	0.1477449456	0.000999000999	0.000999000999	0.3884491581	1	0.000999000999	INSUFFICIENT_SUPPORT	false
