block	currier	hand	joint_class	source	target	source_count	target_count	edge_count	opportunities	block_tokens	p_target_given_source	p_target_baseline	enrichment	log2_enrichment	sign
G2/generic#5	G2	generic	G2/generic	x000000	x000179	9	0	0	9	640	0.001512859304	0.0005200208008	2.909228442	1.540636586	preferred
G3/generic#5	G3	generic	G3/generic	x000000	x000179	5	0	0	5	601	0.001531393568	0.0005420054201	2.825421133	1.498465919	preferred
G0/generic#6	G0	generic	G0/generic	x000000	x000179	10	0	0	10	744	0.001508295626	0.0004692632567	3.214177979	1.684449818	preferred
G1/generic#6	G1	generic	G1/generic	x000000	x000179	9	1	0	9	676	0.001512859304	0.001503759398	1.006051437	0.008704068881	preferred
G2/generic#6	G2	generic	G2/generic	x000000	x000179	9	0	0	9	522	0.001512859304	0.0005927682276	2.552193646	1.351737797	preferred
G3/generic#6	G3	generic	G3/generic	x000000	x000179	5	1	0	5	592	0.001531393568	0.001642036125	0.932618683	-0.1006407636	depleted
G0/generic#7	G0	generic	G0/generic	x000000	x000179	5	0	0	5	709	0.001531393568	0.0004852013586	3.156202144	1.658189608	preferred
G1/generic#7	G1	generic	G1/generic	x000000	x000179	11	1	0	11	710	0.001503759398	0.001454192923	1.034085213	0.04835507478	preferred
G2/generic#7	G2	generic	G2/generic	x000000	x000179	10	0	0	10	659	0.001508295626	0.0005099439062	2.957767722	1.56450876	preferred
G3/generic#7	G3	generic	G3/generic	x000000	x000179	5	0	0	5	554	0.001531393568	0.0005711022273	2.681470138	1.423024187	preferred
G0/generic#8	G0	generic	G0/generic	x000000	x000179	9	1	0	9	598	0.001512859304	0.00163132137	0.9273827534	-0.1087631978	depleted
G1/generic#8	G1	generic	G1/generic	x000000	x000179	7	1	1	7	605	0.004566210046	0.001618996222	2.820395738	1.495897606	preferred
G3/generic#8	G3	generic	G3/generic	x000000	x000179	6	0	0	6	645	0.001526717557	0.0005173305742	2.951145038	1.561274826	preferred
G3/generic#9	G3	generic	G3/generic	x000000	x000179	6	2	0	6	678	0.001526717557	0.002501250625	0.6103816794	-0.7122164346	depleted
G0/generic#10	G0	generic	G0/generic	x000000	x000179	6	0	0	6	629	0.001526717557	0.0005260389269	2.902290076	1.53719172	preferred
G3/generic#10	G3	generic	G3/generic	x000000	x000179	5	0	0	5	735	0.001531393568	0.0004732607667	3.235834609	1.69413787	preferred
G0/generic#11	G0	generic	G0/generic	x000000	x000179	8	1	0	8	695	0.001517450683	0.001475651746	1.028325746	0.04029734412	preferred
G1/generic#11	G1	generic	G1/generic	x000000	x000179	11	0	0	11	701	0.001503759398	0.000488997555	3.07518797	1.620674597	preferred
G2/generic#11	G2	generic	G2/generic	x000000	x000179	9	1	0	9	852	0.001512859304	0.001278227524	1.183560262	0.2431331643	preferred
G0/generic#12	G0	generic	G0/generic	x000000	x000179	10	1	0	10	698	0.001508295626	0.001471309465	1.02513826	0.03581849918	preferred
G1/generic#12	G1	generic	G1/generic	x000000	x000179	6	0	0	6	604	0.001526717557	0.0005402485143	2.825954198	1.498738083	preferred
G1/generic#13	G1	generic	G1/generic	x000000	x000179	10	1	0	10	879	0.001508295626	0.001249479384	1.207139266	0.2715921274	preferred
G2/generic#13	G2	generic	G2/generic	x000000	x000179	5	1	0	5	757	0.001531393568	0.001390820584	1.101071975	0.1389087789	preferred
G3/generic#13	G3	generic	G3/generic	x000000	x000179	5	1	0	5	716	0.001531393568	0.001445783133	1.059213885	0.08299393885	preferred
G0/generic#14	G0	generic	G0/generic	x000000	x000179	5	0	0	5	805	0.001531393568	0.0004438526409	3.450229709	1.786692417	preferred
G2/generic#14	G2	generic	G2/generic	x000000	x000179	12	0	0	12	845	0.001499250375	0.0004286326618	3.497751124	1.806427641	preferred
G3/generic#14	G3	generic	G3/generic	x000000	x000179	5	0	0	5	582	0.001531393568	0.0005534034311	2.767228178	1.468441609	preferred
G0/generic#0	G0	generic	G0/generic	x000000	x000214	6	0	0	6	648	0.001526717557	0.0005157297576	2.960305344	1.565745992	preferred
G1/generic#0	G1	generic	G1/generic	x000000	x000214	6	0	0	6	671	0.001526717557	0.0005037783375	3.030534351	1.599572196	preferred
G2/generic#0	G2	generic	G2/generic	x000000	x000214	5	0	0	5	676	0.001531393568	0.0005012531328	3.055130168	1.61123385	preferred
G3/generic#0	G3	generic	G3/generic	x000000	x000214	5	2	0	5	619	0.001531393568	0.002658160553	0.5761102603	-0.7955831429	depleted
G0/generic#1	G0	generic	G0/generic	x000000	x000214	5	0	0	5	667	0.001531393568	0.0005058168943	3.027565084	1.598157974	preferred
G3/generic#1	G3	generic	G3/generic	x000000	x000214	7	1	0	7	632	0.001522070015	0.001573151547	0.967529173	-0.04762293273	depleted
G1/generic#2	G1	generic	G1/generic	x000000	x000214	10	1	1	10	681	0.004524886878	0.001496259352	3.02413273	1.596521461	preferred
G1/generic#3	G1	generic	G1/generic	x000000	x000214	8	1	0	8	814	0.001517450683	0.001321003963	1.148710167	0.200014835	preferred
G2/generic#3	G2	generic	G2/generic	x000000	x000214	10	0	0	10	719	0.001508295626	0.0004805382028	3.138763198	1.65019619	preferred
G0/generic#4	G0	generic	G0/generic	x000000	x000214	7	0	0	7	684	0.001522070015	0.0004972650423	3.060882801	1.613947806	preferred
G1/generic#4	G1	generic	G1/generic	x000000	x000214	6	0	0	6	659	0.001526717557	0.0005099439062	2.99389313	1.582022724	preferred
G2/generic#4	G2	generic	G2/generic	x000000	x000214	6	1	0	6	636	0.001526717557	0.001566579634	0.9745547074	-0.03718492033	depleted
