corpus	operator_id	metric_id	classification	f2_before	before_available	f2_after	after_available	chosen_count	candidate_pool	degenerate
Doyle	NTH_TOKEN_OF_LINE_2	BP1_BOUNDARY_TOKEN_NMI	CORE	0.0316263	true	0	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	LS2_POSITIONAL_LEXICON_NMI	CORE	0.052295	true	0	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0.329156	true	0	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	EF1_ISOLATE_SHARE	SUPPORTING	0.494776	true	0.59596	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	LP1_RULE_SUPPORT_GINI	SUPPORTING	0.627118	true	0.396062	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.45962	true	0.54135	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.405723	true	0.47927	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	cs2/prev-family-current-family	SUPPORTING		false		false	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	LS1_LINE_LENGTH_CV	SUPPORTING	0.288925	true	0	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0.000574383	true	0	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	cs1/family-line-position	SUPPORTING		false		false	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	cs6/family-diversity-x-line-length	SUPPORTING	0	true	0	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_2	cs7/edit-distance-x-structural-distance	SUPPORTING	0.0152451	true	0.0209695	true	3591	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	EF1_GIANT_COMPONENT_SHARE	CORE	0.273881	true	0.219203	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	EF2_GLOBAL_CLUSTERING	CORE	0.366911	true	0.376905	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.293276	true	0.353906	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	2DL1_LAYOUT_POSITION_MI	CORE	0.00226203	true	0	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	BP1_BOUNDARY_TOKEN_NMI	CORE	0.0316263	true	0	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	LS2_POSITIONAL_LEXICON_NMI	CORE	0.052295	true	0	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0.329156	true	0	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	EF1_ISOLATE_SHARE	SUPPORTING	0.494776	true	0.605072	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	LP1_RULE_SUPPORT_GINI	SUPPORTING	0.627118	true	0.387193	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.45962	true	0.541456	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.405723	true	0.480767	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	cs2/prev-family-current-family	SUPPORTING		false		false	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	LS1_LINE_LENGTH_CV	SUPPORTING	0.288925	true	0	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0.000574383	true	0	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	cs1/family-line-position	SUPPORTING		false		false	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	cs6/family-diversity-x-line-length	SUPPORTING	0	true	0	true	3535	43713	false
Doyle	NTH_TOKEN_OF_LINE_3	cs7/edit-distance-x-structural-distance	SUPPORTING	0.0152451	true	0.0289444	true	3535	43713	false
Doyle	PERIODIC_TOKEN_2	EF1_GIANT_COMPONENT_SHARE	CORE	0.273881	true	0.263832	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	EF2_GLOBAL_CLUSTERING	CORE	0.366911	true	0.346585	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.293276	true	0.32504	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	2DL1_LAYOUT_POSITION_MI	CORE	0.00226203	true	0.000647961	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	BP1_BOUNDARY_TOKEN_NMI	CORE	0.0316263	true	0.0477677	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	LS2_POSITIONAL_LEXICON_NMI	CORE	0.052295	true	0.0792053	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0.329156	true	0.157685	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	EF1_ISOLATE_SHARE	SUPPORTING	0.494776	true	0.532298	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	LP1_RULE_SUPPORT_GINI	SUPPORTING	0.627118	true	0.578952	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.45962	true	0.47709	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	LP4_SUFFIX_ATTACHMENT_NMI	SUPPORTING	0.405723	true	0.421222	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	cs2/prev-family-current-family	SUPPORTING		false		false	21857	43713	false
Doyle	PERIODIC_TOKEN_2	LS1_LINE_LENGTH_CV	SUPPORTING	0.288925	true	0.273218	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	LS4_WITHIN_LINE_EXACT_REPETITION	SUPPORTING	0.000574383	true	0.00438861	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	cs1/family-line-position	SUPPORTING		false		false	21857	43713	false
Doyle	PERIODIC_TOKEN_2	cs6/family-diversity-x-line-length	SUPPORTING	0	true	0	true	21857	43713	false
Doyle	PERIODIC_TOKEN_2	cs7/edit-distance-x-structural-distance	SUPPORTING	0.0152451	true	0.0485235	true	21857	43713	false
Doyle	PERIODIC_TOKEN_3	EF1_GIANT_COMPONENT_SHARE	CORE	0.273881	true	0.25115	true	14571	43713	false
Doyle	PERIODIC_TOKEN_3	EF2_GLOBAL_CLUSTERING	CORE	0.366911	true	0.36781	true	14571	43713	false
Doyle	PERIODIC_TOKEN_3	EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	0.293276	true	0.345398	true	14571	43713	false
Doyle	PERIODIC_TOKEN_3	2DL1_LAYOUT_POSITION_MI	CORE	0.00226203	true	0.000831589	true	14571	43713	false
Doyle	PERIODIC_TOKEN_3	BP1_BOUNDARY_TOKEN_NMI	CORE	0.0316263	true	0.0606589	true	14571	43713	false
Doyle	PERIODIC_TOKEN_3	LS2_POSITIONAL_LEXICON_NMI	CORE	0.052295	true	0.0910382	true	14571	43713	false
Doyle	PERIODIC_TOKEN_3	LS3_BOUNDARY_LENGTH_ASYMMETRY	CORE	0.329156	true	0.109521	true	14571	43713	false
Doyle	PERIODIC_TOKEN_3	EF1_ISOLATE_SHARE	SUPPORTING	0.494776	true	0.555005	true	14571	43713	false
Doyle	PERIODIC_TOKEN_3	LP1_RULE_SUPPORT_GINI	SUPPORTING	0.627118	true	0.526406	true	14571	43713	false
Doyle	PERIODIC_TOKEN_3	LP4_PREFIX_ATTACHMENT_NMI	SUPPORTING	0.45962	true	0.491427	true	14571	43713	false
