scale	null_kind	metric_id	observed_delta	null_mean_delta	null_sd_delta	effect_size	p_value	n_replicates
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	LP1_RULE_SUPPORT_GINI	-0.0725416	0.0654234	0.0138218	-9.98172	0.25	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	LP1_RULE_SUPPORT_GINI	-0.0725416	0.0482602	0.00852874	-14.1641	0.25	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	LP1_RULE_SUPPORT_GINI	-0.0725416	0.0498324	0.00649798	-18.8326	0.25	3
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	0.0233522	-0.0675496	0.00364184	24.9604	0.25	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	LP4_PREFIX_ATTACHMENT_NMI	0.0233522	-0.0584755	0.00203807	40.1495	0.25	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	0.0233522	-0.0581011	0.00147714	55.1427	0.25	3
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	0.0743147	-0.0104845	0.00522741	16.222	0.25	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	LP4_SUFFIX_ATTACHMENT_NMI	0.0743147	0.0127122	0.00165003	37.3341	0.25	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	0.0743147	0.00369991	0.00153027	46.1453	0.25	3
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	cs6/family-diversity-x-line-length	0	0	0	0	1	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	cs6/family-diversity-x-line-length	0	0	0	0	1	3
