window_size	method	k	silhouette	within_cluster_dispersion	between_cluster_distance	cluster_sizes	transition_count	segment_fragmentation
100	contiguous_segmentation	15	-0.010225933550782907	0.8834731509200341	0.8865818897780599	5,119,16,58,81,14,62,175,2373,116,13,99,89,1130,12	14	1
200	k_medoids	2	0.007675357662308924	0.8138621005959219	0.820191802511168	1067,1109	81	41
200	contiguous_segmentation	2	-0.0051665586015146505	0.8160309149576017	0.8117552324235715	1675,501	1	1
200	k_medoids	3	0.004450973457208273	0.8116268788691738	0.8195687732788012	735,648,793	120	40.333333333333336
200	contiguous_segmentation	3	-0.01044814758342363	0.8160644129471116	0.8118403017431485	5,1670,501	2	1
200	k_medoids	4	0.008698485160998583	0.8117279030386957	0.8198136651413227	831,17,598,730	138	34.75
200	contiguous_segmentation	4	-0.012759703010431252	0.8153050304534573	0.8123229548147768	5,95,1575,501	3	1
200	k_medoids	5	0.00703697377111825	0.8110081530338286	0.8190794043034325	669,17,490,419,581	135	27.2
200	contiguous_segmentation	5	-0.017269819369099708	0.8151199344361092	0.8122732221133667	5,53,42,1575,501	4	1
200	k_medoids	6	0.0014615429471071572	0.8088258973402546	0.818659403107563	317,353,446,375,308,377	160	26.833333333333332
200	contiguous_segmentation	6	-0.016540418845364387	0.814501898490083	0.8146409231370203	5,53,42,160,1415,501	5	1
200	k_medoids	7	0.012570386784295314	0.8096752016057154	0.8205451771531216	888,16,455,532,215,17,53	121	17.428571428571427
200	contiguous_segmentation	7	-0.015940294794144255	0.8139712882345871	0.8158463064730692	5,53,42,160,216,1199,501	6	1
200	k_medoids	8	-0.0005825212487359102	0.8085814195217402	0.8186023731358983	422,305,117,419,141,271,230,271	160	20.125
200	contiguous_segmentation	8	-0.015758133806937486	0.8132732302956023	0.8161238656478542	5,53,42,160,216,1075,124,501	7	1
200	k_medoids	9	0.004500942256640324	0.8079640525178047	0.8187406606908973	355,406,461,220,320,57,16,187,154	162	18.11111111111111
200	contiguous_segmentation	9	-0.020615888707647217	0.8131279479146033	0.8160797246266198	5,53,42,160,216,1075,31,93,501	8	1
200	k_medoids	10	0.004956762790868399	0.8059813276154957	0.8184949092839889	344,248,260,16,206,305,133,289,223,152	172	17.3
200	contiguous_segmentation	10	-0.02029718300035148	0.812862011572807	0.8172564198172155	5,53,42,160,216,373,702,31,93,501	9	1
200	k_medoids	11	0.0034716264936718367	0.8060523865386843	0.8185631917014223	420,227,16,244,301,170,94,325,68,30,281	165	15.090909090909092
200	contiguous_segmentation	11	-0.02007939731417121	0.8126834298956052	0.8173547432999042	5,53,42,160,216,127,246,702,31,93,501	10	1
200	k_medoids	12	0.007014578331593679	0.8064092274809822	0.818618016788558	432,17,198,36,248,185,307,148,247,311,30,17	168	14.083333333333334
200	contiguous_segmentation	12	-0.021291741743405975	0.8131988391710538	0.8173575709648857	5,53,42,160,216,105,22,246,702,31,93,501	11	1
