position	support_50	support_100	support_200	support_500	support_1000	support_count	support_fraction	mean_position	mean_jump_strength	max_jump_strength	position_uncertainty
19545	0	1	1	0	0	2	0.4	19545	0.09070758977409711	0.09622556248918268	15
24565	0	1	1	0	0	2	0.4	24565	0.09070713304935774	0.09622556248918267	15
5535	0	1	0	1	0	2	0.4	5535	0.09067107411206414	0.10000000000000002	15
43040	0	1	0	1	0	2	0.4	43040	0.09050589149812516	0.10000000000000002	10
26940	0	1	0	1	0	2	0.4	26940	0.09041321198262521	0.10000000000000002	10
6310	0	1	0	0	1	2	0.4	6310	0.0902031997434386	0.10000000000000002	10
30805	0	1	0	1	0	2	0.4	30805	0.09009101455652684	0.09622556248918268	5
2090	0	1	1	0	0	2	0.4	2090	0.08995112497836535	0.10000000000000002	10
32220	0	1	1	0	0	2	0.4	32220	0.08988870905954666	0.1	0
17995	0	1	0	0	1	2	0.4	17995	0.0896533799105503	0.10000000000000002	5
12005	0	1	0	0	1	2	0.4	12005	0.08953361695292872	0.10000000000000002	5
7090	0	1	0	1	0	2	0.4	7090	0.08952689177473125	0.10000000000000002	10
23940	0	1	0	1	0	2	0.4	23940	0.08928045856904965	0.09622556248918268	10
37610	0	1	0	1	0	2	0.4	37610	0.08909187635403922	0.09622556248918267	10
1970	0	1	0	1	0	2	0.4	1970	0.08908710046112332	0.09622556248918268	30
6555	0	1	0	1	0	2	0.4	6555	0.08898819722175379	0.10000000000000002	5
5385	0	1	1	0	0	2	0.4	5385	0.08888965426055974	0.0957262351386333	15
16710	0	1	0	0	1	2	0.4	16710	0.08800544650626756	0.10000000000000002	10
6810	0	1	0	1	0	2	0.4	6810	0.08792960389013975	0.09622556248918268	10
34675	0	1	0	0	1	2	0.4	34675	0.08764619774466682	0.10000000000000002	25
18445	0	1	0	1	0	2	0.4	18445	0.08730728666108728	0.09572623513863329	5
1255	0	1	1	0	0	2	0.4	1255	0.08717702379227331	0.09622556248918268	5
6645	0	1	0	1	0	2	0.4	6645	0.08711601257618232	0.09622556248918268	5
12635	0	1	0	1	0	2	0.4	12635	0.08705975185301437	0.09622556248918267	15
16335	0	1	0	1	0	2	0.4	16335	0.08685209547933623	0.09622556248918268	15
14850	0	1	0	1	0	2	0.4	14850	0.08655211369125404	0.09622556248918268	0
21635	0	1	0	1	0	2	0.4	21635	0.08630941387793889	0.09622556248918268	15
16980	0	1	0	1	0	2	0.4	16980	0.08628852356873062	0.09622556248918268	30
31025	0	1	0	1	0	2	0.4	31025	0.08621092203950853	0.09622556248918268	25
13415	0	1	0	1	0	2	0.4	13415	0.08618680910249846	0.09572623513863329	15
4985	0	1	0	1	0	2	0.4	4985	0.08616236631047905	0.09622556248918268	15
40530	0	1	0	0	1	2	0.4	40530	0.08608316836537754	0.09622556248918268	30
11745	0	0	1	1	0	2	0.4	11745	0.08601745058278157	0.09367668746754801	5
13925	0	1	0	1	0	2	0.4	13925	0.08586210702708033	0.09622556248918268	25
2950	0	1	0	1	0	2	0.4	2950	0.08583968460457773	0.10000000000000002	0
19030	0	1	0	1	0	2	0.4	19030	0.08574523915105578	0.09622556248918267	20
31365	0	1	0	1	0	2	0.4	31365	0.08437107664010289	0.10000000000000002	15
24050	0	0	1	1	0	2	0.4	24050	0.08375631585566003	0.0912255624891827	50
30893	1	0	0	1	0	2	0.4	30892.5	0.08374058630599143	0.09245112497836531	7.5
24390	0	0	1	1	0	2	0.4	24390	0.0827600337067605	0.08792769644172395	10
16785	0	1	1	0	0	2	0.4	16785	0.08259343835528758	0.09178260880549267	15
36940	0	0	1	1	0	2	0.4	36940	0.07961011589173655	0.09159752400262525	40
42610	0	1	0	0	1	2	0.4	42610	0.07913687771582119	0.09622556248918268	10
19390	0	0	1	0	1	2	0.4	19390	0.07888582010912722	0.09170899385918796	10
7500	0	1	0	0	1	2	0.4	7500	0.07822166578231479	0.09622556248918267	0
30730	0	0	1	0	1	2	0.4	30730	0.07757969819790728	0.08766075757613129	30
27990	0	1	0	0	1	2	0.4	27990	0.07726329001180686	0.10000000000000002	10
42780	0	0	1	0	1	2	0.4	42780	0.07667687018017072	0.08832241384235731	20
32980	0	0	1	0	1	2	0.4	32980	0.07652655463825594	0.08792769644172392	20
24610	0	1	0	0	1	2	0.4	24610	0.07356942650852372	0.10000000000000002	10
1115	0	1	0	0	1	2	0.4	1115	0.07275028261515551	0.10000000000000002	15
26330	0	0	1	0	1	2	0.4	26330	0.07110198046158214	0.08867668746754805	30
15900	0	0	0	1	1	2	0.4	15900	0.0699086660376315	0.07807763923297506	100
9400	0	0	0	1	1	2	0.4	9400	0.06824128785870145	0.07088984865458578	100
4770	0	1	0	0	0	1	0.2	4770	0.10000000000000003	0.10000000000000003	0
31590	0	1	0	0	0	1	0.2	31590	0.10000000000000003	0.10000000000000003	0
930	0	1	0	0	0	1	0.2	930	0.10000000000000002	0.10000000000000002	0
3400	0	1	0	0	0	1	0.2	3400	0.10000000000000002	0.10000000000000002	0
5440	0	1	0	0	0	1	0.2	5440	0.10000000000000002	0.10000000000000002	0
7660	0	1	0	0	0	1	0.2	7660	0.10000000000000002	0.10000000000000002	0
8620	0	1	0	0	0	1	0.2	8620	0.10000000000000002	0.10000000000000002	0
9200	0	1	0	0	0	1	0.2	9200	0.10000000000000002	0.10000000000000002	0
13140	0	1	0	0	0	1	0.2	13140	0.10000000000000002	0.10000000000000002	0
14620	0	1	0	0	0	1	0.2	14620	0.10000000000000002	0.10000000000000002	0
17350	0	1	0	0	0	1	0.2	17350	0.10000000000000002	0.10000000000000002	0
28080	0	1	0	0	0	1	0.2	28080	0.10000000000000002	0.10000000000000002	0
32650	0	1	0	0	0	1	0.2	32650	0.10000000000000002	0.10000000000000002	0
32710	0	1	0	0	0	1	0.2	32710	0.10000000000000002	0.10000000000000002	0
33880	0	1	0	0	0	1	0.2	33880	0.10000000000000002	0.10000000000000002	0
34940	0	1	0	0	0	1	0.2	34940	0.10000000000000002	0.10000000000000002	0
35830	0	1	0	0	0	1	0.2	35830	0.10000000000000002	0.10000000000000002	0
36260	0	1	0	0	0	1	0.2	36260	0.10000000000000002	0.10000000000000002	0
36640	0	1	0	0	0	1	0.2	36640	0.10000000000000002	0.10000000000000002	0
38720	0	1	0	0	0	1	0.2	38720	0.10000000000000002	0.10000000000000002	0
41380	0	1	0	0	0	1	0.2	41380	0.10000000000000002	0.10000000000000002	0
41890	0	1	0	0	0	1	0.2	41890	0.10000000000000002	0.10000000000000002	0
43650	0	1	0	0	0	1	0.2	43650	0.10000000000000002	0.10000000000000002	0
55	1	0	0	0	0	1	0.2	55	0.09999999999999999	0.09999999999999999	0
1790	1	0	0	0	0	1	0.2	1790	0.09999999999999999	0.09999999999999999	0
36095	1	0	0	0	0	1	0.2	36095	0.09999999999999999	0.09999999999999999	0
42230	0	1	0	0	0	1	0.2	42230	0.09874185416306092	0.10000000000000002	0
5180	0	1	0	0	0	1	0.2	5180	0.0987418541630609	0.10000000000000002	0
9040	0	1	0	0	0	1	0.2	9040	0.0987418541630609	0.10000000000000002	0
230	0	1	0	0	0	1	0.2	230	0.09811278124459136	0.10000000000000002	0
650	0	1	0	0	0	1	0.2	650	0.09811278124459136	0.10000000000000002	0
11440	0	1	0	0	0	1	0.2	11440	0.09811278124459136	0.10000000000000002	0
21360	0	1	0	0	0	1	0.2	21360	0.09811278124459136	0.10000000000000002	0
21910	0	1	0	0	0	1	0.2	21910	0.09811278124459136	0.10000000000000002	0
28260	0	1	0	0	0	1	0.2	28260	0.09811278124459136	0.10000000000000002	0
29830	0	1	0	0	0	1	0.2	29830	0.09811278124459136	0.10000000000000002	0
29890	0	1	0	0	0	1	0.2	29890	0.09811278124459136	0.10000000000000002	0
34770	0	1	0	0	0	1	0.2	34770	0.09811278124459136	0.10000000000000002	0
38500	0	1	0	0	0	1	0.2	38500	0.09811278124459136	0.10000000000000002	0
38940	0	1	0	0	0	1	0.2	38940	0.09811278124459136	0.10000000000000002	0
740	0	1	0	0	0	1	0.2	740	0.09811278124459134	0.10000000000000002	0
39550	0	1	0	0	0	1	0.2	39550	0.09811278124459134	0.1	0
9450	0	1	0	0	0	1	0.2	9450	0.09786311756931665	0.10000000000000002	0
17590	0	1	0	0	0	1	0.2	17590	0.09786311756931665	0.10000000000000002	0
330	0	1	0	0	0	1	0.2	330	0.0974837083261218	0.10000000000000002	0
10680	0	1	0	0	0	1	0.2	10680	0.0974837083261218	0.10000000000000002	0
15020	0	1	0	0	0	1	0.2	15020	0.0974837083261218	0.10000000000000002	0
27890	0	1	0	0	0	1	0.2	27890	0.0974837083261218	0.10000000000000002	0
34520	0	1	0	0	0	1	0.2	34520	0.0974837083261218	0.10000000000000002	0
40230	0	1	0	0	0	1	0.2	40230	0.0974837083261218	0.10000000000000002	0
18530	0	1	0	0	0	1	0.2	18530	0.09731726587593868	0.10000000000000002	0
41130	0	1	0	0	0	1	0.2	41130	0.09731726587593865	0.10000000000000002	0
43570	0	1	0	0	0	1	0.2	43570	0.09698044999134615	0.10000000000000002	0
12840	0	1	0	0	0	1	0.2	12840	0.09622556248918268	0.0962255624891827	0
15540	0	1	0	0	0	1	0.2	15540	0.09622556248918268	0.0962255624891827	0
130	0	1	0	0	0	1	0.2	130	0.09622556248918268	0.09622556248918268	0
800	0	1	0	0	0	1	0.2	800	0.09622556248918268	0.09622556248918268	0
2250	0	1	0	0	0	1	0.2	2250	0.09622556248918268	0.09622556248918268	0
4030	0	1	0	0	0	1	0.2	4030	0.09622556248918268	0.09622556248918268	0
4590	0	1	0	0	0	1	0.2	4590	0.09622556248918268	0.09622556248918268	0
6410	0	1	0	0	0	1	0.2	6410	0.09622556248918268	0.09622556248918268	0
7440	0	1	0	0	0	1	0.2	7440	0.09622556248918268	0.09622556248918268	0
7750	0	1	0	0	0	1	0.2	7750	0.09622556248918268	0.09622556248918268	0
8160	0	1	0	0	0	1	0.2	8160	0.09622556248918268	0.09622556248918268	0
8680	0	1	0	0	0	1	0.2	8680	0.09622556248918268	0.09622556248918268	0
9360	0	1	0	0	0	1	0.2	9360	0.09622556248918268	0.09622556248918268	0
10470	0	1	0	0	0	1	0.2	10470	0.09622556248918268	0.09622556248918268	0
11200	0	1	0	0	0	1	0.2	11200	0.09622556248918268	0.09622556248918268	0
12920	0	1	0	0	0	1	0.2	12920	0.09622556248918268	0.09622556248918268	0
13550	0	1	0	0	0	1	0.2	13550	0.09622556248918268	0.09622556248918268	0
14160	0	1	0	0	0	1	0.2	14160	0.09622556248918268	0.09622556248918268	0
14270	0	1	0	0	0	1	0.2	14270	0.09622556248918268	0.09622556248918268	0
14770	0	1	0	0	0	1	0.2	14770	0.09622556248918268	0.09622556248918268	0
16440	0	1	0	0	0	1	0.2	16440	0.09622556248918268	0.09622556248918268	0
16530	0	1	0	0	0	1	0.2	16530	0.09622556248918268	0.09622556248918268	0
16660	0	1	0	0	0	1	0.2	16660	0.09622556248918268	0.09622556248918268	0
19620	0	1	0	0	0	1	0.2	19620	0.09622556248918268	0.09622556248918268	0
