corpus	mapping	metric	observed	null_mean	null_median	null_ci_2_5	null_ci_97_5	standardized_effect	empirical_p	bh_fdr_q	status
IT2a	BASELINE	N4_LAG4_RHO	0.0571394864	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N4_LAG5_RHO	0.0572556103	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N5_AP_CLOSENESS	0.393902022	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	N6_RATIO_REPEAT	0.809446702	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	BASELINE	NUMERIC_REGULARITY_SCORE	0.322395868	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	COLLISION_FRACTION	0.0327178089	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	EDIT_SUBSTITUTION_CONSISTENCY	1	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	LEADING_ZERO_FRACTION	0.0519172486	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N1_ADJACENT_LENGTH_DIFF_MEAN	1.70505223	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N1_LENGTH_MEAN	5.04796416	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N1_LOG_B_N_PLUS_1_MEAN	4.64121259	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N1_POSITION_LENGTH_RHO	-0.117716844	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N2_ABS_DELTA_MEAN	7.90879268e+15	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N2_DELTA_ENTROPY	7.61742133	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N2_NORMALIZED_DELTA_MEAN	0.822869338	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N2_REPEATED_DELTA_FRACTION	0.969576639	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N2_SIGNED_DELTA_MEAN	-1.29438803e+13	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N3_DECREASING_FRACTION	0.0467862821	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N3_INCREASING_FRACTION	0.0240744947	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N3_LONGEST_MONOTONIC_RUN	7	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N3_POSITION_VALUE_RHO	-0.137536247	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N4_LAG1_RHO	0.193611148	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N4_LAG2_RHO	0.0752245086	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N4_LAG3_RHO	0.069575965	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N4_LAG4_RHO	0.0571394864	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N4_LAG5_RHO	0.0572556103	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N5_AP_CLOSENESS	0.393902022	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
IT2a	OPTIMIZED	N6_RATIO_REPEAT	0.809446702	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
