page_id	physical_leaf	page_order	visual_code	visual_class	currier	scribe	quire	token_count	line_count	unique_tokens	mean_token_length	type_token_ratio	token_entropy	exact_adjacent_repetition	near_edit_adjacent_repetition	mean_line_transition_entropy	mean_line_tokens	line_length_cv	boundary_length_asymmetry	mean_line_token_entropy
f73v	f73v	143	Z	Zodiac	NA	4	L	99	33	88	4.57575758	0.888888889	6.37168213	0	0	4.52169217	3	2.33184476	0.212121212	3.18874898
f75r	f75r	144	B	Biological	B	2	M	418	53	203	4.00717703	0.485645933	6.95818905	0.0191780822	0.0602739726	2.96676673	7.88679245	0.382538975	0.245283019	2.93910404
f75v	f75v	145	B	Biological	B	2	M	359	70	194	3.96935933	0.540389972	7.10936125	0.0207612457	0.0415224913	3.05294223	5.12857143	0.891328947	0.3	2.80745704
f76r	f76r	146	T	Text	B	2	M	570	56	260	3.81929825	0.456140351	7.36692807	0.0155642023	0.0564202335	3.46854716	10.1785714	0.436203744	0.607142857	3.4085285
f76v	f76v	147	B	Biological	B	2	M	401	41	228	4.25685786	0.568578554	7.30389941	0.00555555556	0.0472222222	3.17967659	9.7804878	0.207674683	0.170731707	3.22567529
f77r	f77r	148	B	Biological	B	2	M	332	50	177	4.26204819	0.53313253	6.87155975	0.024822695	0.0460992908	2.84978044	6.64	0.477954175	0.72	2.82340321
f77v	f77v	149	B	Biological	B	2	M	333	45	174	4.29429429	0.522522523	6.71802142	0.0138888889	0.0381944444	2.9565039	7.4	0.447636584	0.955555556	2.97622625
f78r	f78r	150	B	Biological	B	2	M	303	47	168	3.99669967	0.554455446	6.89958973	0.01171875	0.03515625	2.67402016	6.44680851	0.421474242	0.744680851	2.72900521
f78v	f78v	151	B	Biological	B	2	M	299	32	163	3.88294314	0.545150502	6.704547	0.0074906367	0.0449438202	3.07533711	9.34375	0.126367107	0.3125	3.12353046
f79r	f79r	152	B	Biological	B	2	M	384	44	214	3.94791667	0.557291667	7.25849432	0.00882352941	0.0294117647	2.98973707	8.72727273	0.202821964	0.454545455	3.10943334
f79v	f79v	153	B	Biological	B	2	M	356	42	200	4.13483146	0.561797753	7.12915513	0.0159235669	0.0636942675	2.92385622	8.47619048	0.173308783	0.452380952	2.98280386
f80r	f80r	154	B	Biological	B	2	M	452	53	244	3.9800885	0.539823009	7.33864639	0.00501253133	0.0250626566	3.24400573	8.52830189	0.481051186	0.735849057	3.22326124
f80v	f80v	155	B	Biological	B	2	M	376	44	199	3.9893617	0.529255319	7.11408166	0.0120481928	0.0271084337	2.97574417	8.54545455	0.237358987	0.727272727	3.06591123
f81r	f81r	156	B	Biological	B	2	M	210	31	128	3.93809524	0.60952381	6.51409931	0.0111731844	0.0335195531	2.57770801	6.77419355	0.224554653	0.419354839	2.69243907
f81v	f81v	157	B	Biological	B	2	M	257	28	159	3.95330739	0.618677043	6.90102564	0.0131004367	0.0655021834	3.08034254	9.17857143	0.205551599	0.214285714	3.13344448
f82r	f82r	158	B	Biological	B	2	M	292	45	173	4.3869863	0.592465753	6.97767087	0.00809716599	0.036437247	2.97840358	6.48888889	0.581864332	0.288888889	2.89777669
f82v	f82v	159	B	Biological	B	2	M	323	48	189	4.30340557	0.585139319	7.11305769	0.0145454545	0.0436363636	3.05421655	6.72916667	0.59658885	0.0208333333	2.99184641
f83r	f83r	160	B	Biological	B	2	M	349	55	203	4.36389685	0.581661891	7.16660684	0.00680272109	0.0408163265	2.69014101	6.34545455	0.47589971	0.490909091	2.78404438
f83v	f83v	161	B	Biological	B	2	M	262	35	146	4.38167939	0.557251908	6.63064411	0.00881057269	0.0220264317	2.93179123	7.48571429	0.410304038	0.342857143	2.93783832
f84r	f84r	162	B	Biological	B	2	M	370	47	192	4.10540541	0.518918919	6.95738774	0.00619195046	0.0526315789	3.30304432	7.87234043	0.631044406	0.425531915	3.18897678
f84v	f84v	163	B	Biological	B	2	M	344	51	167	4.06395349	0.485465116	6.77478406	0.00682593857	0.0750853242	2.89155186	6.74509804	0.525288687	0.0784313725	2.89302023
f85r1	f85r	164	T	Text	B	2	N	349	35	240	4.26934097	0.687679083	7.60747578	0.00318471338	0.0477707006	3.22970368	9.97142857	0.253340389	0.542857143	3.30579157
f85r2	f85r	165	C	Cosmological	B	2	N	157	24	116	4.12101911	0.738853503	6.62570642	0.00751879699	0.045112782	3.01307034	6.54166667	0.988611827	0.416666667	3.01850377
fRos	fRos	166	C	Cosmological	B	4	N	551	160	366	4.1923775	0.664246824	8.09010014	0.0179028133	0.0690537084	4.42156079	3.44375	2.36977668	0.00625	3.30974152
f86v4	f86v	167	C	Cosmological	B	2	N	192	9	145	3.98958333	0.755208333	6.91048356	0.00546448087	0.0491803279	4.66306308	21.3333333	0.659589716	1.33333333	4.52106412
f86v6	f86v	168	T	Text	B	2	N	498	45	293	4.05823293	0.588353414	7.72524615	0.00220750552	0.0375275938	3.35955476	11.0666667	0.170580688	0.288888889	3.42918997
f86v5	f86v	169	T	Text	B	2	N	390	39	231	3.83076923	0.592307692	7.40825997	0.0056980057	0.0427350427	3.18912273	10	0.182093094	0.564102564	3.2695561
f86v3	f86v	170	C	Cosmological	B	2	N	288	36	203	4.21527778	0.704861111	7.40856511	0.0119047619	0.0515873016	2.87548346	8	0.286605752	0.527777778	2.98574023
f87r	f87r	171	H	Herbal	A	1	O	103	16	92	4.12621359	0.893203883	6.44359227	0	0.0114942529	2.50255873	6.4375	0.240442403	0	2.68931793
f87v	f87v	172	H	Herbal	A	1	O	93	16	89	4	0.956989247	6.43690317	0	0.025974026	2.37511732	5.8125	0.309159264	0.25	2.58879755
f88r	f88r	173	P	Pharmaceutical	A	1	O	150	31	110	4.14	0.733333333	6.53146296	0.0168067227	0.0588235294	2.8617186	4.83870968	0.809431442	0.064516129	2.6398029
f88v	f88v	174	P	Pharmaceutical	A	1	O	146	30	119	4.59589041	0.815068493	6.75232933	0	0.025862069	2.78687045	4.86666667	0.743286451	0.2	2.6951762
f89r1	f89r	175	P	Pharmaceutical	A	1	O	142	27	110	4.07746479	0.774647887	6.4967256	0	0.0347826087	2.97945049	5.25925926	0.788555835	0.111111111	2.81660589
f89r2	f89r	176	P	Pharmaceutical	A	1	O	235	34	154	4.06808511	0.655319149	6.87578595	0.00497512438	0.0746268657	3.81378084	6.91176471	1.03621198	0.117647059	3.4048621
f89v2	f89v	177	P	Pharmaceutical	A	1	O	183	27	136	3.82513661	0.743169399	6.81686065	0	0.0448717949	3.68478212	6.77777778	0.979816152	0.0740740741	3.37771063
f89v1	f89v	178	P	Pharmaceutical	A	1	O	154	24	126	4.16883117	0.818181818	6.78601316	0.00769230769	0.0153846154	3.05495743	6.41666667	0.653021808	0.25	2.98874504
f90r1	f90r	179	H	Herbal	A	1	O	69	9	66	4.44927536	0.956521739	6.02156794	0	0	2.82770015	7.66666667	0.319498662	0.666666667	2.94846404
f90r2	f90r	180	H	Herbal	A	1	O	47	6	40	3.63829787	0.85106383	5.19810188	0	0.0487804878	2.86493361	7.83333333	0.327134146	0.333333333	2.86849154
