window_size	method	k	silhouette	within_cluster_dispersion	between_cluster_distance	cluster_sizes	transition_count	segment_fragmentation
50	k_medoids	13	0.0003218632161993049	0.8904706311175342	0.9126126824466256	2295,461,1128,162,1451,62,212,287,277,181,1057,754,406	1907	146.76923076923077
50	contiguous_segmentation	13	-0.024889795777451346	0.9091232224379158	0.9104663557223192	5,2249,191,7,360,299,32,205,74,54,2695,15,2547	12	1
50	k_medoids	14	0.0005866609565763522	0.8880602268655027	0.9126847087933166	1634,436,1432,210,144,244,680,1688,96,720,439,366,100,544	1943	138.85714285714286
50	contiguous_segmentation	14	-0.024889795777451346	0.9091232224379158	0.9104663557223192	5,2249,191,7,360,299,20,12,205,74,54,2695,15,2547	13	1
50	k_medoids	15	0.0025048332495653637	0.8905729351775016	0.9136202653864844	314,118,18,242,835,2285,2372,502,225,632,121,402,434,88,145	1897	126.53333333333333
50	contiguous_segmentation	15	-0.024889795777451346	0.9091232224379158	0.9104663557223192	5,2249,191,7,360,283,16,20,12,205,74,54,2695,15,2547	14	1
100	k_medoids	2	0.013861074685280972	0.843748513202405	0.8556596375057356	1631,2731	249	125
100	contiguous_segmentation	2	-0.001851625272232864	0.8490866395184282	0.8474843822097439	3019,1343	1	1
100	k_medoids	3	0.005662856169515645	0.8443218795435203	0.852971181137035	1644,2154,564	325	108.66666666666667
100	contiguous_segmentation	3	-0.002722298699383863	0.8489203372823808	0.847805225251111	5,3014,1343	2	1
100	k_medoids	4	0.0028494808275027522	0.8442488035846694	0.8532135774042043	2090,1341,171,760	388	97.25
100	contiguous_segmentation	4	-0.003416103474301727	0.8485448664250816	0.8485124060582516	5,2972,42,1343	3	1
100	k_medoids	5	0.009566253784575852	0.8416568668596834	0.8527721477595112	18,758,1285,1702,599	431	86.4
100	contiguous_segmentation	5	-0.003416103474301727	0.8485448664250816	0.8485124060582516	5,2959,13,42,1343	4	1
100	k_medoids	6	0.00045282009059587595	0.8409358397015327	0.8518586757686706	598,753,1562,115,756,578	476	79.5
100	contiguous_segmentation	6	-0.00659289536313287	0.8484924944566038	0.8488147912323575	5,2897,62,13,42,1343	5	1
100	k_medoids	7	0.002071721099973703	0.8372520275200046	0.8523930210873053	1425,119,449,597,486,856,430	494	70.71428571428571
100	contiguous_segmentation	7	-0.009613443338222264	0.847984543122821	0.8491613374870788	5,2661,236,62,13,42,1343	6	1
100	k_medoids	8	0.0007962225101902024	0.837955677996022	0.8515712147767326	329,439,1256,640,425,274,517,482	521	65.25
100	contiguous_segmentation	8	-0.02251701500911031	0.8482058221839961	0.8491377435985922	5,2661,20,216,62,13,42,1343	7	1
100	k_medoids	9	0.008310045583556068	0.8381930522321297	0.8525559607911182	895,1636,18,17,558,56,336,90,756	462	51.44444444444444
100	contiguous_segmentation	9	-0.02251701500911031	0.8482058221839961	0.8491377435985922	5,2653,8,20,216,62,13,42,1343	8	1
100	k_medoids	10	0.013005749491081638	0.8379329395411766	0.8523882979649713	642,19,687,17,1534,513,18,53,270,609	517	51.8
100	contiguous_segmentation	10	-0.02375664238431623	0.8477698825451389	0.8491568514329911	5,2653,8,20,216,62,13,42,1293,50	9	1
100	k_medoids	11	0.008271676531004992	0.8349265319482927	0.8520550827922705	1343,540,349,37,340,608,17,18,257,444,409	526	47.90909090909091
100	contiguous_segmentation	11	-0.024016099732716772	0.8475413446774225	0.849245131674633	5,191,2462,8,20,216,62,13,42,1293,50	10	1
100	k_medoids	12	0.003070225240300423	0.8345056334116959	0.8518392505643463	1181,868,362,17,203,123,423,314,111,632,36,92	516	43.083333333333336
100	contiguous_segmentation	12	-0.02473628066150745	0.8467528258208344	0.8492556947504684	5,119,72,2462,8,20,216,62,13,42,1293,50	11	1
100	k_medoids	13	0.013929979569244175	0.8352769748267254	0.8526177187258884	1102,17,144,1651,577,37,17,421,254,19,50,56,17	453	34.92307692307692
100	contiguous_segmentation	13	-0.023553616489214946	0.8468003202284695	0.8492485054711082	5,83,36,72,2462,8,20,216,62,13,42,1293,50	12	1
100	k_medoids	14	0.0024617379121041104	0.8346319587759738	0.8513840339098389	54,1009,682,18,329,406,87,783,17,211,180,194,193,199	570	40.785714285714285
100	contiguous_segmentation	14	-0.023553616489214946	0.8468003202284695	0.8492485054711082	5,83,6,30,72,2462,8,20,216,62,13,42,1293,50	13	1
100	k_medoids	15	0.007949596648964889	0.8316628811065141	0.8519437881951636	742,19,514,32,999,327,18,33,287,548,35,86,34,596,92	513	34.266666666666666
100	contiguous_segmentation	15	-0.021392818749795563	0.8468063432596136	0.8492108262047028	5,83,6,30,72,2462,8,20,216,62,13,42,1269,24,50	14	1
200	k_medoids	2	0.007167118241677048	0.7677505979977945	0.7733309876518898	1204,972	113	57
200	contiguous_segmentation	2	-0.0033972451193352905	0.76919956609725	0.7665077537917747	1544,632	1	1
200	k_medoids	3	0.003380626785281926	0.7674238554999833	0.772747157886169	1003,514,659	136	45.666666666666664
200	contiguous_segmentation	3	-0.009709589439454524	0.7691974742338893	0.7666256470747784	5,1539,632	2	1
200	k_medoids	4	0.01145486207663114	0.7636215787608472	0.7765067843789315	1208,16,614,338	133	33.5
200	contiguous_segmentation	4	-0.013448323297087839	0.7684049646680229	0.7670094159567706	5,95,1444,632	3	1
200	k_medoids	5	0.007803660156057907	0.762927163060966	0.7739181657356509	915,16,356,413,476	120	24.2
200	contiguous_segmentation	5	-0.01756203179207028	0.7683035849835547	0.7669664583855424	5,62,33,1444,632	4	1
200	k_medoids	6	0.0056929098680729906	0.762714980970172	0.7725679247124573	387,511,16,608,365,289	149	25
200	contiguous_segmentation	6	-0.02232045395907671	0.7678260966807221	0.7666316767852062	5,62,33,1444,37,595	5	1
200	k_medoids	7	0.005857208280895103	0.7610666464237409	0.7729271925870842	327,15,188,292,265,617,472	157	22.571428571428573
200	contiguous_segmentation	7	-0.02247119520478937	0.7673496560283742	0.766325543446906	5,62,33,1444,37,95,500	6	1
200	k_medoids	8	0.007426411965981854	0.7585011020731476	0.7727664244833125	342,139,16,287,464,198,451,279	166	20.875
200	contiguous_segmentation	8	-0.021222231338544208	0.7661016272060185	0.7687758796971833	5,62,33,1333,111,37,95,500	7	1
200	k_medoids	9	0.004189233708923287	0.7585684738235716	0.7723390138437431	417,128,382,182,293,16,311,192,255	170	19
200	contiguous_segmentation	9	-0.02099472661706983	0.7656858486877418	0.7690562546059168	5,62,33,1186,147,111,37,95,500	8	1
200	k_medoids	10	0.003122542135259698	0.7595297998726995	0.7722830815924515	453,16,225,30,117,216,196,409,364,150	169	17
200	contiguous_segmentation	10	-0.01970536872237453	0.7646454177262425	0.7712572017637559	5,62,33,738,448,147,111,37,95,500	9	1
200	k_medoids	11	0.00883205138605383	0.7574294754049702	0.7723663109977852	365,241,181,151,96,220,16,16,413,195,282	166	15.181818181818182
200	contiguous_segmentation	11	-0.018974805773484437	0.7640639191955353	0.7715764395659961	5,62,33,201,537,448,147,111,37,95,500	10	1
200	k_medoids	12	0.0026382231454458484	0.757434751523536	0.7720509598270847	320,16,187,214,45,55,266,255,43,199,215,361	159	13.333333333333334
200	contiguous_segmentation	12	-0.019113293681200218	0.763558456959313	0.7715958598099951	5,62,33,201,537,448,147,45,66,37,95,500	11	1
200	k_medoids	13	0.0050844750671842805	0.7569417387931383	0.7720518384584836	263,15,351,16,325,242,83,120,148,135,205,214,59	179	13.846153846153847
200	contiguous_segmentation	13	-0.01964014236866911	0.7629088585000382	0.771588165655248	5,62,33,201,537,448,147,45,66,37,95,483,17	12	1
200	k_medoids	14	0.019773220548530816	0.7568623848141343	0.7722813286838655	347,16,15,150,214,249,376,16,213,16,223,226,16,99	171	12.285714285714286
200	contiguous_segmentation	14	-0.019199322734385925	0.7625156377951159	0.7717035438563822	5,62,33,201,537,371,77,147,45,66,37,95,483,17	13	1
200	k_medoids	15	0.01869409039181336	0.7555797095959834	0.7727233730405755	400,14,16,78,154,15,322,251,369,15,28,126,252,16,120	169	11.333333333333334
200	contiguous_segmentation	15	-0.01912677786050611	0.7624772363466576	0.7719138744941929	5,62,33,201,537,299,72,77,147,45,66,37,95,483,17	14	1
500	k_medoids	2	0.017828778195134832	0.6413724678866259	0.653087588518303	452,413	33	17
500	contiguous_segmentation	2	0.010174954810336445	0.6410415029605807	0.6476428983484652	622,243	1	1
500	k_medoids	3	0.029578303656062576	0.6369933743703414	0.6626225983726803	657,157,51	20	7
500	contiguous_segmentation	3	0.01162177740431536	0.6370750840922637	0.6481711511044856	5,617,243	2	1
500	k_medoids	4	0.034497187059995105	0.6328142263138344	0.6690819738849675	694,25,99,47	18	4.75
500	contiguous_segmentation	4	0.018095929351226843	0.6315812811390675	0.6510787760323833	5,486,131,243	3	1
500	k_medoids	5	0.014105094718403257	0.6325985297419819	0.6516262259006487	279,149,120,45,272	64	13
500	contiguous_segmentation	5	0.026461189232374505	0.6258744499187826	0.6534552517796852	5,305,181,131,243	4	1
500	k_medoids	6	0.014109006747083177	0.6285015659182206	0.651860533775697	113,254,23,117,208,150	73	12.333333333333334
500	contiguous_segmentation	6	0.027678476838032463	0.6205426025707903	0.6534195067434478	5,305,181,53,78,243	5	1
500	k_medoids	7	0.01973830803742001	0.6234840742098671	0.6520985608491421	149,24,38,176,152,73,253	59	8.571428571428571
500	contiguous_segmentation	7	0.025305344340905093	0.6158481870334108	0.6523379966506488	5,305,181,53,78,186,57	6	1
500	k_medoids	8	0.01995046260962623	0.6214192348385894	0.6517222741790388	80,207,23,123,143,38,177,74	81	10.25
500	contiguous_segmentation	8	0.03160109508244516	0.6113630862937038	0.6525791158308831	5,305,139,42,53,78,186,57	7	1
500	k_medoids	9	0.03166910573751778	0.6132988964045828	0.6534406629777264	233,61,144,24,42,112,36,191,22	49	5.555555555555555
500	contiguous_segmentation	9	0.033795962912419146	0.6073117454541687	0.6525558372741822	5,305,139,27,15,53,78,186,57	8	1
500	k_medoids	10	0.03267037983234742	0.6103881734061818	0.6532966451287757	265,23,23,38,50,94,91,210,31,40	61	6.2
500	contiguous_segmentation	10	0.04164190424366246	0.602117083182921	0.6527142521068419	5,128,177,139,27,15,53,78,186,57	9	1
500	k_medoids	11	0.03638596597221039	0.6056041028863913	0.6524463546540092	229,22,26,40,24,38,38,83,75,133,157	55	5.090909090909091
500	contiguous_segmentation	11	0.04756540417430182	0.5970707422752489	0.6527054671610285	5,42,86,177,139,27,15,53,78,186,57	10	1
500	k_medoids	12	0.048415749705732196	0.5972802245256409	0.6532021945031281	200,23,25,177,23,37,115,21,36,133,39,36	65	5.5
500	contiguous_segmentation	12	0.054962163869133975	0.591984827486686	0.6525143217381728	5,42,86,62,115,139,27,15,53,78,186,57	11	1
500	k_medoids	13	0.04668712594410362	0.5952056478846925	0.6538607976637306	276,20,94,25,27,140,75,42,26,39,38,38,25	57	4.461538461538462
500	contiguous_segmentation	13	0.06037705494201302	0.5878298810406729	0.6524843964749666	5,42,86,62,19,96,139,27,15,53,78,186,57	12	1
500	k_medoids	14	0.04353593263404707	0.5957575917324697	0.6515441358285716	133,21,121,102,59,25,35,39,28,124,22,82,34,40	67	4.857142857142857
500	contiguous_segmentation	14	0.06677781615157367	0.5832579612891526	0.6525895928367841	5,42,86,62,19,96,110,29,27,15,53,78,186,57	13	1
500	k_medoids	15	0.07062857855408713	0.5801006799629337	0.6538134792641063	226,20,20,20,28,15,35,213,29,32,42,122,24,18,21	60	4.066666666666666
500	contiguous_segmentation	15	0.06571305523118735	0.5826148003038709	0.652602487865552	5,42,81,5,62,19,96,110,29,27,15,53,78,186,57	14	1
1000	k_medoids	2	0.030424264503334776	0.5421626811180856	0.5595197928306253	299,129	18	9.5
1000	contiguous_segmentation	2	0.03418805640092168	0.537332768613527	0.5564653975860467	313,115	1	1
1000	k_medoids	3	0.0492026586860668	0.5313230159213463	0.5663387625726427	358,28,42	7	2.6666666666666665
1000	contiguous_segmentation	3	0.03765853070849757	0.5308760986187755	0.5572064047916987	6,307,115	2	1
1000	k_medoids	4	0.06729496824351613	0.5203507628228358	0.5716289657035953	347,26,29,26	7	2
1000	contiguous_segmentation	4	0.051911110961729394	0.5198830315335163	0.559289547500038	6,235,72,115	3	1
1000	k_medoids	5	0.06269255960025474	0.5156621375059676	0.5692693356112403	276,32,43,35,42	15	3.2
1000	contiguous_segmentation	5	0.07194065392369876	0.5082138575521961	0.5616598318817811	6,149,86,72,115	4	1
1000	k_medoids	6	0.08944897189277459	0.5011607488227184	0.5701381530053017	286,31,27,26,28,30	13	2.3333333333333335
1000	contiguous_segmentation	6	0.08951177849624656	0.49754629382693943	0.5618134132183829	6,64,85,86,72,115	5	1
