corpus_id	representation_id	family	metric_id	regime	checkpoint	mean	median	sd	ci_low	ci_high	n_valid
C06	MUSIC-R1	L	L05_LINE_ASYMMETRY		5000	0.219656754994	0.21876236633	0.00772480947022	0.205440201145	0.236443264056	100
C06	MUSIC-R1	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	FREQ_GE_5	5000	0.573164788031	0.573964129872	0.017345699148	0.540078951802	0.60441513836	100
C06	MUSIC-R1	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	FREQ_GE_5	5000	0.426835211969	0.426035870128	0.017345699148	0.39558486164	0.459921048198	100
C06	MUSIC-R1	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	FREQ_GE_10	5000	0.762359198006	0.762554492291	0.0157442810102	0.734012368584	0.789827651311	100
C06	MUSIC-R1	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	FREQ_GE_10	5000	0.237640801994	0.237445507709	0.0157442810102	0.210172348689	0.265987631416	100
C06	MUSIC-R1	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	TOP_100	5000	0.748163636364	0.749494949495	0.00980733053752	0.731611111111	0.765772727273	100
C06	MUSIC-R1	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	TOP_100	5000	0.251836363636	0.250505050505	0.00980733053752	0.234227272727	0.268388888889	100
C06	MUSIC-R1	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	TOP_250	5000	0.273632128514	0.27346184739	0.00631135689973	0.263535742972	0.287542971888	100
C06	MUSIC-R1	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	TOP_250	5000	0.726367871486	0.72653815261	0.00631135689973	0.712457028112	0.736464257028	100
C06	MUSIC-R1	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	MATCHED_VOCAB	5000	0.229596062366	0.228077035817	0.0125212011843	0.209723189	0.255754654219	100
C06	MUSIC-R1	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	MATCHED_VOCAB	5000	0.770403937634	0.771922964183	0.0125212011843	0.744245345781	0.790276811	100
C06	MUSIC-R1	G	G01_ALPHABET_SIZE		10000	32.48	33	0.574108003776	31	33	100
C06	MUSIC-R1	G	G02_INITIAL_RESTRICTION_DENSITY		10000	0.938404203324	0.939393939394	0.00110011396826	0.935483870968	0.939393939394	100
C06	MUSIC-R1	G	G03_FINAL_RESTRICTION_DENSITY		10000	0.461968475073	0.454545454545	0.00825085476198	0.454545454545	0.483870967742	100
C06	MUSIC-R1	G	G04_BIGRAM_OCCUPANCY		10000	0.0922786675103	0.091796875	0.00330145547255	0.0872359963269	0.100442247659	100
C06	MUSIC-R1	G	G05_TRIGRAM_OCCUPANCY		10000	0.00777478070768	0.00765609624446	0.000475177242042	0.00704009794919	0.00888103789735	100
C06	MUSIC-R1	G	G06_SYMBOL_CONDITIONAL_ENTROPY_NORM		10000	0.391923007032	0.391557849617	0.00240540359286	0.388217481305	0.396562313303	100
C06	MUSIC-R1	G	G07_HIGHER_ORDER_ENTROPY_REDUCTION		10000	0.0858200219344	0.0857578460258	0.000689383686057	0.0847186926611	0.0870627527781	100
C06	MUSIC-R1	G	G08_MEAN_SYMBOLS_PER_TOKEN		10000	4.04640490513	4.04643609659	0.00377298796174	4.03936680128	4.05385351383	100
C06	MUSIC-R1	T	T01_MEAN_TOKEN_LENGTH		10000	4.04640490513	4.04643609659	0.00377298796174	4.03936680128	4.05385351383	100
C06	MUSIC-R1	T	T02_TOKEN_LENGTH_SD		10000	0.584202807411	0.584660620513	0.00409185886998	0.577078606491	0.590581837751	100
C06	MUSIC-R1	T	T03_UNIQUE_TOKEN_RATIO		10000	0.0338786516121	0.0338813673644	0.000718958293803	0.0324013777858	0.0352590111174	100
C06	MUSIC-R1	T	T04_HAPAX_RATIO		10000	0.220113511492	0.218434120308	0.0140088025392	0.195117098523	0.247415057606	100
C06	MUSIC-R1	T	T05_PREFIX_DIVERSITY		10000	0.00590623573637	0.00589970501475	0.000126392428039	0.00567336788566	0.00617283950617	100
C06	MUSIC-R1	T	T06_SUFFIX_DIVERSITY		10000	0.0516212233575	0.0518292682927	0.0020421929331	0.0473306898453	0.0549661557395	100
C06	MUSIC-R1	T	T07_EDIT_GRAPH_DENSITY		10000	0.0381382426626	0.0380879706521	0.000479522241969	0.0373228178541	0.0391695876773	100
C06	MUSIC-R1	T	T08_EDIT_GRAPH_GIANT_SHARE		10000	0.990492218346	0.99108467571	0.0012970902749	0.987859445519	0.991489948172	100
C06	MUSIC-R1	T	T09_EDIT_GRAPH_CLUSTERING		10000	0.358682914376	0.359012868724	0.00532118162698	0.348092580948	0.368175546777	100
C06	MUSIC-R1	T	T10_EDIT_DEGREE_FREQUENCY_SPEARMAN		10000	0.552905847571	0.551721187095	0.0347373829831	0.493988236147	0.622584832121	100
C06	MUSIC-R1	T	T11_POSITIONAL_RESTRICTION_DENSITY		10000	0.5958278348	0.59595959596	0.00339558876664	0.592515120968	0.606060606061	100
C06	MUSIC-R1	S	S01_TRANSITION_DENSITY	FREQ_GE_5	10000	0.114214844468	0.113791892941	0.00297909626827	0.109179599861	0.119788800298	100
C06	MUSIC-R1	S	S02_TRANSITION_ZERO_DENSITY	FREQ_GE_5	10000	0.885785155532	0.886208107059	0.00297909626827	0.880211199702	0.890820400139	100
C06	MUSIC-R1	S	S03_TRANSITION_ENTROPY_NORM	FREQ_GE_5	10000	0.74413416229	0.744085794365	0.00189547146371	0.740561695961	0.747738185341	100
C06	MUSIC-R1	S	S06_PREFERRED_TRANSITION_FRACTION	FREQ_GE_5	10000	0.150084774774	0.150506418101	0.0113496521857	0.130064629847	0.1701606712	100
C06	MUSIC-R1	S	S07_DEPLETED_TRANSITION_FRACTION	FREQ_GE_5	10000	0.395055636415	0.396480331263	0.0177595598133	0.360102150538	0.426635129576	100
C06	MUSIC-R1	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	FREQ_GE_5	10000	0.439026799864	0.439166156171	0.00234777392032	0.434042768677	0.443097378447	100
C06	MUSIC-R1	S	S01_TRANSITION_DENSITY	FREQ_GE_10	10000	0.17515247207	0.174779458097	0.00463107614966	0.167832167832	0.184847928091	100
C06	MUSIC-R1	S	S02_TRANSITION_ZERO_DENSITY	FREQ_GE_10	10000	0.82484752793	0.825220541903	0.00463107614966	0.815152071909	0.832167832168	100
C06	MUSIC-R1	S	S03_TRANSITION_ENTROPY_NORM	FREQ_GE_10	10000	0.772896391009	0.772866533865	0.00197436660983	0.769180044279	0.776564741581	100
C06	MUSIC-R1	S	S06_PREFERRED_TRANSITION_FRACTION	FREQ_GE_10	10000	0.149776160449	0.150350772617	0.00930265189324	0.129634558933	0.164216958685	100
C06	MUSIC-R1	S	S07_DEPLETED_TRANSITION_FRACTION	FREQ_GE_10	10000	0.406333619717	0.40445324097	0.0170199738764	0.374663461538	0.440121003025	100
C06	MUSIC-R1	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	FREQ_GE_10	10000	0.457328195219	0.45752697738	0.00264362235077	0.451674441116	0.462551544205	100
C06	MUSIC-R1	S	S01_TRANSITION_DENSITY	TOP_100	10000	0.272718	0.2729	0.00261405355722	0.2677475	0.2774	100
C06	MUSIC-R1	S	S02_TRANSITION_ZERO_DENSITY	TOP_100	10000	0.727282	0.7271	0.00261405355722	0.7226	0.7322525	100
C06	MUSIC-R1	S	S03_TRANSITION_ENTROPY_NORM	TOP_100	10000	0.804329959866	0.804374724284	0.00130462643795	0.801685553705	0.806679286476	100
C06	MUSIC-R1	S	S06_PREFERRED_TRANSITION_FRACTION	TOP_100	10000	0.147686226086	0.148398398398	0.0101768348133	0.128679930442	0.164669809108	100
C06	MUSIC-R1	S	S07_DEPLETED_TRANSITION_FRACTION	TOP_100	10000	0.414140413247	0.416077896526	0.0167909628781	0.378853629923	0.44508953105	100
C06	MUSIC-R1	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	TOP_100	10000	0.473785433262	0.47385430677	0.00265128828159	0.468727906642	0.478774967434	100
C06	MUSIC-R1	S	S01_TRANSITION_DENSITY	TOP_250	10000	0.0653104	0.065336	0.000606176212004	0.0641516	0.0664024	100
C06	MUSIC-R1	S	S02_TRANSITION_ZERO_DENSITY	TOP_250	10000	0.9346896	0.934664	0.000606176212004	0.9335976	0.9358484	100
C06	MUSIC-R1	S	S03_TRANSITION_ENTROPY_NORM	TOP_250	10000	0.708480936398	0.708592735403	0.00121649033963	0.706183960766	0.71069474796	100
C06	MUSIC-R1	S	S06_PREFERRED_TRANSITION_FRACTION	TOP_250	10000	0.150487222983	0.14986631016	0.0110224408052	0.130098958333	0.175531914894	100
C06	MUSIC-R1	S	S07_DEPLETED_TRANSITION_FRACTION	TOP_250	10000	0.387856007918	0.389915254237	0.0181526342377	0.355104813665	0.422337962963	100
C06	MUSIC-R1	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	TOP_250	10000	0.415145003584	0.415113717575	0.00208866436674	0.410584135942	0.419129300362	100
C06	MUSIC-R1	S	S01_TRANSITION_DENSITY	MATCHED_VOCAB	10000	0.0371588375564	0.0370094856425	0.00149924492806	0.0343146545974	0.0402520576132	100
C06	MUSIC-R1	S	S02_TRANSITION_ZERO_DENSITY	MATCHED_VOCAB	10000	0.962841162444	0.962990514357	0.00149924492806	0.959747942387	0.965685345403	100
C06	MUSIC-R1	S	S03_TRANSITION_ENTROPY_NORM	MATCHED_VOCAB	10000	0.67529183914	0.675268393203	0.00233838772603	0.671050558111	0.679493006498	100
C06	MUSIC-R1	S	S06_PREFERRED_TRANSITION_FRACTION	MATCHED_VOCAB	10000	0.152575237202	0.150289017341	0.0105578314825	0.132145102061	0.174166666667	100
C06	MUSIC-R1	S	S07_DEPLETED_TRANSITION_FRACTION	MATCHED_VOCAB	10000	0.382274393801	0.384412955466	0.0171638233595	0.346365974471	0.4149794821	100
C06	MUSIC-R1	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	MATCHED_VOCAB	10000	0.392796477242	0.392374667924	0.00240683326697	0.388570434517	0.397099371055	100
C06	MUSIC-R1	S	S04_REPEATED_BIGRAM_TYPES		10000	1627.13	1626	16.4582228688	1599	1661.525	100
C06	MUSIC-R1	S	S05_REPEATED_TRIGRAM_TYPES		10000	1165.75	1167.5	33.1639487999	1092.375	1219.05	100
C06	MUSIC-R1	D	D_LINE_COHERENCE		10000	0.27796649339	0.276862584327	0.0184986385625	0.244655933713	0.313830594375	100
C06	MUSIC-R1	D	D_LINE_EXCLUSIVITY		10000	0.253904174041	0.254011287875	0.0153156133273	0.219458061002	0.281802158514	100
C06	MUSIC-R1	D	D_LINE_VARIANCE_SHARE		10000	0.0644014082719	0.0644749605627	0.00242252358573	0.0597927297282	0.0687397773478	100
C06	MUSIC-R1	D	D_LINE_PROGRESSION		10000	-3.87931479681e-05	-3.82846308725e-05	7.11171751211e-06	-5.08865000751e-05	-2.51108014361e-05	100
C06	MUSIC-R1	D	D_SECTION_COHERENCE		10000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_SECTION_EXCLUSIVITY		10000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_SECTION_VARIANCE_SHARE		10000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_SECTION_PROGRESSION		10000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_PAGE_COHERENCE		10000	0.271828761011	0.274890208334	0.0174831521436	0.235362136802	0.296515400265	100
C06	MUSIC-R1	D	D_PAGE_EXCLUSIVITY		10000	0.36281046227	0.362555431883	0.0182224412352	0.32437248996	0.40006969666	100
C06	MUSIC-R1	D	D_PAGE_VARIANCE_SHARE		10000	0.0262922001234	0.0262132518242	0.00162059291075	0.0234324832261	0.029617302822	100
C06	MUSIC-R1	D	D_PAGE_PROGRESSION		10000	-9.88945872575e-05	-9.6345928287e-05	2.56207063078e-05	-0.000149253248684	-5.16752395796e-05	100
C06	MUSIC-R1	D	D_LOCUS_COHERENCE		10000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_LOCUS_EXCLUSIVITY		10000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_LOCUS_VARIANCE_SHARE		10000	0	0	0	0	0	0
C06	MUSIC-R1	D	D_LOCUS_PROGRESSION		10000	0	0	0	0	0	0
C06	MUSIC-R1	CURVE	A2_BIGRAM_TYPES		10000	97.27	97	1.57388055455	94	100	100
C06	MUSIC-R1	CURVE	A3_TRIGRAM_TYPES		10000	265.89	267	7.37684892078	250.475	278.525	100
C06	MUSIC-R1	CURVE	AT_TRANSITION_TYPES		10000	4259.58	4260	41.0054093992	4180.95	4343.375	100
C06	MUSIC-R1	L	L01_LINE_TOKEN_COUNT_MEAN		10000	23.4874567949	23.4835680751	0.105700986665	23.2919832493	23.6872037915	100
C06	MUSIC-R1	L	L02_LINE_SYMBOL_COUNT_MEAN		10000	95.056095176	95.0564015465	0.438102510486	94.2354495311	95.8233224654	100
C06	MUSIC-R1	L	L03_BOUNDARY_SPECIALIZATION		10000	0.657099085844	0.657777602191	0.0112836482857	0.637586835393	0.67840684661	100
C06	MUSIC-R1	L	L04_POSITION_PROGRESSION		10000	0.0403600332826	0.0398161172724	0.00543761565932	0.0309606682601	0.0496547324837	100
C06	MUSIC-R1	L	L05_LINE_ASYMMETRY		10000	0.218583731705	0.218591098556	0.00359891324311	0.212611786243	0.224965129341	100
C06	MUSIC-R1	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	FREQ_GE_5	10000	0.5308804408	0.530488303258	0.00976339955425	0.513853859833	0.548425526451	100
C06	MUSIC-R1	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	FREQ_GE_5	10000	0.4691195592	0.469511696742	0.00976339955425	0.451574473549	0.486146140167	100
C06	MUSIC-R1	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	FREQ_GE_10	10000	0.676451720511	0.67640883312	0.0094589774584	0.657020335986	0.69318684356	100
C06	MUSIC-R1	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	FREQ_GE_10	10000	0.323548279489	0.32359116688	0.0094589774584	0.30681315644	0.342979664014	100
C06	MUSIC-R1	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	TOP_100	10000	0.831414141414	0.831919191919	0.00612840861096	0.819287878788	0.842934343434	100
C06	MUSIC-R1	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	TOP_100	10000	0.168585858586	0.168080808081	0.00612840861096	0.157065656566	0.180712121212	100
C06	MUSIC-R1	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	TOP_250	10000	0.352879036145	0.352530120482	0.00361688741547	0.346391967871	0.359072289157	100
C06	MUSIC-R1	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	TOP_250	10000	0.647120963855	0.647469879518	0.00361688741547	0.640927710843	0.653608032129	100
C06	MUSIC-R1	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	MATCHED_VOCAB	10000	0.221829703868	0.221566029053	0.00712175677198	0.210373219373	0.236343244927	100
C06	MUSIC-R1	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	MATCHED_VOCAB	10000	0.778170296132	0.778433970947	0.00712175677198	0.763656755073	0.789626780627	100
