left_glyph	right_glyph	observed_count	left_opportunities	p_right_given_left	expected_count	effect_size	p_raw	q_value	observed_status	corpus_rule	inferred_status
i	e	6	11933	0.000502807341	1555.540131	0.003857181105	0	0	OBSERVED	OBSERVED	DEPLETED
i	f	9	11933	0.0007542110115	29.33242817	0.3068276498	1.143738252e-05	5.024694152e-05	OBSERVED	OBSERVED	DEPLETED
i	g	8	11933	0.000670409788	10.51974518	0.7604746942	0.2774253954	0.5817852953	OBSERVED	OBSERVED	EXPECTED
i	h	4	11933	0.000335204894	1378.316978	0.002902090059	0	0	OBSERVED	OBSERVED	DEPLETED
i	i	4769	11933	0.3996480349	916.9839194	5.200745508	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
i	j	1	11933	8.38012235e-05	0.9214375342	1.085260761	0.6020534321	1	OBSERVED	OBSERVED	EXPECTED
i	k	53	11933	0.004441464845	753.2751842	0.07035941328	0	0	OBSERVED	OBSERVED	DEPLETED
i	l	53	11933	0.004441464845	706.128297	0.07505718185	0	0	OBSERVED	OBSERVED	DEPLETED
i	m	58	11933	0.004860470963	81.16328947	0.714608789	0.004277462673	0.01518792226	OBSERVED	OBSERVED	DEPLETED
i	n	6046	11933	0.5066621973	474.6171166	12.73868933	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
i	o	15	11933	0.001257018352	1284.023204	0.01168203188	0	0	OBSERVED	OBSERVED	DEPLETED
i	p	16	11933	0.001340819576	86.69191467	0.1845616175	1.331937472e-20	8.379567786e-20	OBSERVED	OBSERVED	DEPLETED
i	q	0	11933	0	2.687526141	0	0.06804907511	0.1817271199	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	r	776	11933	0.06502974943	542.4963483	1.430424375	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
i	s	43	11933	0.00360345261	211.623487	0.2031910569	0	0	OBSERVED	OBSERVED	DEPLETED
i	t	28	11933	0.002346434258	458.7223191	0.06103910543	0	0	OBSERVED	OBSERVED	DEPLETED
i	u	0	11933	0	0.6142916895	0	0.5410239726	0.9493793133	UNOBSERVED	NEVER_OBSERVED	EXPECTED
i	v	0	11933	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
