target_a	target_b	control_rank	control_a	control_b	distance	js_similarity	weighted_overlap	jaccard_support_overlap	observations_a	observations_b	reliability
aiin	ar	1	sar	shedy	6	0.25806265744472934	0.1925697830239785	0.10101010101010101	81	433	1
aiin	ar	1	sar	shedy	7	0.22617906130429433	0.15864054971060357	0.0749185667752443	81	433	1
aiin	ar	1	sar	shedy	8	0.29912653399908884	0.20802326575998628	0.10437710437710437	81	433	1
aiin	ar	1	sar	shedy	9	0.29188156103621643	0.20944886379836342	0.10139860139860139	81	433	1
aiin	ar	1	sar	shedy	10	0.2380466838860411	0.17409403244661129	0.08737864077669903	81	433	1
aiin	ar	1	sar	shedy	11	0.26042112816688456	0.18564137655746585	0.08090614886731391	81	433	1
aiin	ar	1	sar	shedy	12	0.22706591258111986	0.1549054828500556	0.07516339869281045	81	433	1
aiin	ar	1	sar	shedy	13	0.2539825689938888	0.18715251047814557	0.0744336569579288	81	433	1
aiin	ar	1	sar	shedy	14	0.28843652706370826	0.21646280614717872	0.08524590163934426	81	433	1
aiin	ar	1	sar	shedy	15	0.2281176369955561	0.15402161206626175	0.09003215434083602	81	433	1
aiin	ar	1	sar	shedy	16	0.26569164491840336	0.19177144812248736	0.09090909090909091	81	433	1
aiin	ar	1	sar	shedy	17	0.27601852286972184	0.20331879223334187	0.09446254071661238	81	433	1
aiin	ar	1	sar	shedy	18	0.33430279311965727	0.24506030279702332	0.10631229235880399	81	433	1
aiin	ar	1	sar	shedy	19	0.22569906946445994	0.1541071479485644	0.07894736842105263	81	433	1
aiin	ar	1	sar	shedy	20	0.24308810688804083	0.1756907022495937	0.08940397350993377	81	433	1
aiin	ar	2	shedy	sor	1	0.1551591226347646	0.10967712720192001	0.05363984674329502	433	51	1
aiin	ar	2	shedy	sor	2	0.25215215970119775	0.16510437893402163	0.07612456747404844	433	51	1
aiin	ar	2	shedy	sor	3	0.17863239049657198	0.12235656387266222	0.057692307692307696	433	51	1
aiin	ar	2	shedy	sor	4	0.2553938289159251	0.19046325227550603	0.06	433	51	1
aiin	ar	2	shedy	sor	5	0.20900452002749836	0.13739075306797083	0.06968641114982578	433	51	1
aiin	ar	2	shedy	sor	6	0.24281055942859664	0.16854594031608022	0.05714285714285714	433	51	1
aiin	ar	2	shedy	sor	7	0.25407917081034603	0.16972331657836343	0.07342657342657342	433	51	1
aiin	ar	2	shedy	sor	8	0.21228237939349537	0.14083231445002942	0.05944055944055944	433	51	1
aiin	ar	2	shedy	sor	9	0.2391864553721127	0.16510437893402163	0.07692307692307693	433	51	1
aiin	ar	2	shedy	sor	10	0.17888532356369646	0.11311868858397864	0.058419243986254296	433	51	1
aiin	ar	2	shedy	sor	11	0.25220187990602194	0.15586650364533805	0.07317073170731707	433	51	1
aiin	ar	2	shedy	sor	12	0.23543193994887335	0.15699859620522572	0.07420494699646643	433	51	1
