candidate	corpus	error_channel	error_rate	replicate	seed	injected_errors	glyph_recovery	token_recovery	word_error_rate	exact_message_recovery	output_tokens
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	95	67097767	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	96	67098776	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	97	67099785	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	98	67100794	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00000	99	67101803	0	1.00000000	1.00000000	0.00000000	1	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	0	67002912	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	1	67003921	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	2	67004930	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	3	67005939	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	4	67006948	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	5	67007957	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	6	67008966	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	7	67009975	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	8	67010984	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	9	67011993	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	10	67013002	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	11	67014011	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	12	67015020	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	13	67016029	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	14	67017038	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	15	67018047	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	16	67019056	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	17	67020065	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	18	67021074	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	19	67022083	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	20	67023092	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	21	67024101	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	22	67025110	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	23	67026119	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	24	67027128	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	25	67028137	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	26	67029146	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	27	67030155	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	28	67031164	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	29	67032173	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	30	67033182	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	31	67034191	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	32	67035200	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	33	67036209	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	34	67037218	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	35	67038227	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	36	67039236	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	37	67040245	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	38	67041254	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	39	67042263	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	40	67043272	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	41	67044281	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	42	67045290	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	43	67046299	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	44	67047308	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	45	67048317	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	46	67049326	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	47	67050335	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	48	67051344	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	49	67052353	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	50	67053362	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	51	67054371	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	52	67055380	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	53	67056389	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	54	67057398	1	0.99808795	0.99218750	0.00781250	0	128
