candidate	corpus	partition	input_units	output_tokens	clean_glyph_recovery	clean_token_recovery	sequence_edit_distance	normalized_char_edit_distance	word_error_rate	exact_message_recovery	recovered_plaintext_entropy	decoder_level	measurement
M11_MIXED_FORM_K2	Doyle	TEST_BLOCK_16	16	16	0.32692308	0.12500000	14	0.67307692	0.87500000	0	3.84038974	LEVEL_3	actual short-block encode->decode
M11_MIXED_FORM_K2	Doyle	TEST_BLOCK_32	32	32	0.29629630	0.09375000	29	0.70370370	0.90625000	0	3.89894700	LEVEL_3	actual short-block encode->decode
M11_MIXED_FORM_K2	Doyle	TEST_BLOCK_64	64	64	0.27272727	0.06250000	60	0.72727273	0.93750000	0	4.04933349	LEVEL_3	actual short-block encode->decode
M11_MIXED_FORM_K2	Doyle	TEST_BLOCK_128	128	128	0.28153153	0.07031250	119	0.71846847	0.92968750	0	4.03710349	LEVEL_3	actual short-block encode->decode
M0_IDENTITY	Longfellow	TRAIN	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.03175621	LEVEL_1	actual encode->decode
M0_IDENTITY	Longfellow	VALIDATION	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.08934705	LEVEL_1	actual encode->decode
M0_IDENTITY	Longfellow	TEST	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.13031663	LEVEL_1	actual encode->decode
M0_IDENTITY	Longfellow	TEST_BLOCK_8	8	8	1.00000000	1.00000000	0	0.00000000	0.00000000	1	3.88465374	LEVEL_1	actual short-block encode->decode
M0_IDENTITY	Longfellow	TEST_BLOCK_16	16	16	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.06969769	LEVEL_1	actual short-block encode->decode
M0_IDENTITY	Longfellow	TEST_BLOCK_32	32	32	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.09945109	LEVEL_1	actual short-block encode->decode
M0_IDENTITY	Longfellow	TEST_BLOCK_64	64	64	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.09330064	LEVEL_1	actual short-block encode->decode
M0_IDENTITY	Longfellow	TEST_BLOCK_128	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.13031663	LEVEL_1	actual short-block encode->decode
M1_MONOALPHABETIC	Longfellow	TRAIN	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.03175621	LEVEL_3	actual encode->decode
M1_MONOALPHABETIC	Longfellow	VALIDATION	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.08934705	LEVEL_3	actual encode->decode
M1_MONOALPHABETIC	Longfellow	TEST	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.13031663	LEVEL_3	actual encode->decode
M1_MONOALPHABETIC	Longfellow	TEST_BLOCK_8	8	8	1.00000000	1.00000000	0	0.00000000	0.00000000	1	3.88465374	LEVEL_3	actual short-block encode->decode
M1_MONOALPHABETIC	Longfellow	TEST_BLOCK_16	16	16	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.06969769	LEVEL_3	actual short-block encode->decode
M1_MONOALPHABETIC	Longfellow	TEST_BLOCK_32	32	32	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.09945109	LEVEL_3	actual short-block encode->decode
M1_MONOALPHABETIC	Longfellow	TEST_BLOCK_64	64	64	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.09330064	LEVEL_3	actual short-block encode->decode
M1_MONOALPHABETIC	Longfellow	TEST_BLOCK_128	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.13031663	LEVEL_3	actual short-block encode->decode
M2_HOMOPHONY_H2	Longfellow	TRAIN	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.03175621	LEVEL_1	actual encode->decode
M2_HOMOPHONY_H2	Longfellow	VALIDATION	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.08934705	LEVEL_1	actual encode->decode
M2_HOMOPHONY_H2	Longfellow	TEST	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.13031663	LEVEL_1	actual encode->decode
M2_HOMOPHONY_H2	Longfellow	TEST_BLOCK_8	8	8	1.00000000	1.00000000	0	0.00000000	0.00000000	1	3.88465374	LEVEL_1	actual short-block encode->decode
M2_HOMOPHONY_H2	Longfellow	TEST_BLOCK_16	16	16	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.06969769	LEVEL_1	actual short-block encode->decode
M2_HOMOPHONY_H2	Longfellow	TEST_BLOCK_32	32	32	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.09945109	LEVEL_1	actual short-block encode->decode
M2_HOMOPHONY_H2	Longfellow	TEST_BLOCK_64	64	64	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.09330064	LEVEL_1	actual short-block encode->decode
M2_HOMOPHONY_H2	Longfellow	TEST_BLOCK_128	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.13031663	LEVEL_1	actual short-block encode->decode
G_FORM_MEDIUM	Longfellow	TRAIN	128	128	0.65753425	0.63281250	47	0.34246575	0.36718750	0	4.01099050	LEVEL_3	actual encode->decode
G_FORM_MEDIUM	Longfellow	VALIDATION	128	128	0.63254113	0.60156250	51	0.36745887	0.39843750	0	4.07575829	LEVEL_3	actual encode->decode
G_FORM_MEDIUM	Longfellow	TEST	128	128	0.50333333	0.48437500	66	0.49666667	0.51562500	0	4.10074735	LEVEL_3	actual encode->decode
G_FORM_MEDIUM	Longfellow	TEST_BLOCK_8	8	8	0.71794872	0.50000000	4	0.28205128	0.50000000	0	3.82425283	LEVEL_3	actual short-block encode->decode
G_FORM_MEDIUM	Longfellow	TEST_BLOCK_16	16	16	0.73239437	0.56250000	7	0.26760563	0.43750000	0	3.92573472	LEVEL_3	actual short-block encode->decode
G_FORM_MEDIUM	Longfellow	TEST_BLOCK_32	32	32	0.62162162	0.53125000	15	0.37837838	0.46875000	0	4.04627481	LEVEL_3	actual short-block encode->decode
G_FORM_MEDIUM	Longfellow	TEST_BLOCK_64	64	64	0.47868852	0.42187500	37	0.52131148	0.57812500	0	4.06762059	LEVEL_3	actual short-block encode->decode
G_FORM_MEDIUM	Longfellow	TEST_BLOCK_128	128	128	0.50333333	0.48437500	66	0.49666667	0.51562500	0	4.10074735	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Longfellow	TRAIN	146	146	0.50171233	0.26712329	107	0.49828767	0.73287671	0	3.90500561	LEVEL_3	actual encode->decode
M9_GROUP_FORM_FIXED	Longfellow	VALIDATION	137	137	0.44708029	0.13868613	118	0.55291971	0.86131387	0	3.93052429	LEVEL_3	actual encode->decode
M9_GROUP_FORM_FIXED	Longfellow	TEST	150	150	0.40166667	0.12000000	132	0.59833333	0.88000000	0	3.92170756	LEVEL_3	actual encode->decode
M9_GROUP_FORM_FIXED	Longfellow	TEST_BLOCK_8	8	8	0.46875000	0.00000000	8	0.53125000	1.00000000	0	3.25704883	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Longfellow	TEST_BLOCK_16	16	16	0.50000000	0.06250000	15	0.50000000	0.93750000	0	3.61861786	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Longfellow	TEST_BLOCK_32	32	32	0.39843750	0.06250000	30	0.60156250	0.93750000	0	4.00594687	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Longfellow	TEST_BLOCK_64	64	64	0.35546875	0.06250000	60	0.64453125	0.93750000	0	4.00867621	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Longfellow	TEST_BLOCK_128	128	128	0.40429688	0.12500000	112	0.59570312	0.87500000	0	3.95472300	LEVEL_3	actual short-block encode->decode
M10_STATEFUL_FORM_K2	Longfellow	TRAIN	168	168	0.44520548	0.25595238	125	0.55479452	0.74404762	0	3.79230856	LEVEL_3	actual encode->decode
M10_STATEFUL_FORM_K2	Longfellow	VALIDATION	157	157	0.37111517	0.15923567	132	0.62888483	0.84076433	0	3.85762835	LEVEL_3	actual encode->decode
M10_STATEFUL_FORM_K2	Longfellow	TEST	173	173	0.34000000	0.13872832	149	0.66000000	0.86127168	0	3.85920289	LEVEL_3	actual encode->decode
M10_STATEFUL_FORM_K2	Longfellow	TEST_BLOCK_8	8	8	0.33333333	0.12500000	7	0.66666667	0.87500000	0	3.43993647	LEVEL_3	actual short-block encode->decode
