block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G1/generic#0	G2/generic#12	94	94	63	0.504	0.6190132675	0
G1/generic#0	G3/generic#12	94	102	79	0.6752136752	0.7936801881	0
G1/generic#0	G0/generic#13	94	90	75	0.6880733945	0.8145069769	0
G1/generic#0	G1/generic#13	94	95	79	0.7181818182	0.8241471337	0
G1/generic#0	G2/generic#13	94	89	59	0.4758064516	0.6346842184	0
G1/generic#0	G3/generic#13	94	99	76	0.6495726496	0.7572871982	0
G1/generic#0	G0/generic#14	94	109	79	0.6370967742	0.7288398431	0
G1/generic#0	G1/generic#14	94	95	66	0.5365853659	0.6928177727	0
G1/generic#0	G2/generic#14	94	97	77	0.6754385965	0.7802166027	0
G1/generic#0	G3/generic#14	94	89	61	0.5	0.6303930295	0
G1/generic#0	G0/generic#15	94	93	68	0.5714285714	0.7144150079	0
G1/generic#0	G1/generic#15	94	110	78	0.619047619	0.7199273001	0
G1/generic#0	G2/generic#15	94	108	72	0.5538461538	0.6496156154	0
G1/generic#0	G3/generic#15	94	57	52	0.5252525253	0.6709803711	0
G2/generic#0	G3/generic#0	97	111	88	0.7333333333	0.8602740402	0
G2/generic#0	G0/generic#1	97	103	79	0.652892562	0.7853710825	0
G2/generic#0	G1/generic#1	97	86	64	0.5378151261	0.6998192621	0
G2/generic#0	G2/generic#1	97	62	53	0.5	0.6998272598	0
G2/generic#0	G3/generic#1	97	82	71	0.6574074074	0.8075819414	0
G2/generic#0	G0/generic#2	97	105	78	0.6290322581	0.7724038148	0
G2/generic#0	G1/generic#2	97	82	60	0.5042016807	0.6694076072	0
G2/generic#0	G2/generic#2	97	104	77	0.6209677419	0.7631439476	0
G2/generic#0	G3/generic#2	97	99	76	0.6333333333	0.8014352229	0
G2/generic#0	G0/generic#3	97	110	71	0.5220588235	0.7164196823	0
G2/generic#0	G1/generic#3	97	108	71	0.5298507463	0.7001168546	0
G2/generic#0	G2/generic#3	97	93	60	0.4615384615	0.6297347405	0
G2/generic#0	G3/generic#3	97	89	72	0.6315789474	0.7847757597	0
G2/generic#0	G0/generic#4	97	88	77	0.712962963	0.8305502148	0
G2/generic#0	G1/generic#4	97	99	71	0.568	0.7435923566	0
G2/generic#0	G2/generic#4	97	111	77	0.5877862595	0.7280417404	0
G2/generic#0	G3/generic#4	97	93	76	0.6666666667	0.7969137878	0
G2/generic#0	G0/generic#5	97	101	71	0.5590551181	0.7197861243	0
G2/generic#0	G1/generic#5	97	94	68	0.5528455285	0.7098545355	0
G2/generic#0	G2/generic#5	97	71	55	0.4867256637	0.6993764002	0
G2/generic#0	G3/generic#5	97	98	68	0.5354330709	0.7317602735	0
G2/generic#0	G0/generic#6	97	89	72	0.6315789474	0.7840142546	0
G2/generic#0	G1/generic#6	97	84	77	0.7403846154	0.8356908949	0
G2/generic#0	G2/generic#6	97	62	57	0.5588235294	0.7599224203	0
G2/generic#0	G3/generic#6	97	67	47	0.4017094017	0.5889342086	0
G2/generic#0	G0/generic#7	97	99	66	0.5076923077	0.7001870615	0
G2/generic#0	G1/generic#7	97	100	62	0.4592592593	0.6653107309	0
G2/generic#0	G2/generic#7	97	66	42	0.347107438	0.5315412008	0
G2/generic#0	G3/generic#7	97	70	52	0.452173913	0.6182454927	0
G2/generic#0	G0/generic#8	97	81	67	0.6036036036	0.7792529564	0
G2/generic#0	G1/generic#8	97	75	60	0.5357142857	0.7096801349	0
G2/generic#0	G2/generic#8	97	56	51	0.5	0.6890403022	0
G2/generic#0	G3/generic#8	97	80	69	0.6388888889	0.7780408028	0
G2/generic#0	G0/generic#9	97	66	51	0.4553571429	0.619819882	0
G2/generic#0	G1/generic#9	97	88	66	0.5546218487	0.7128510242	0
G2/generic#0	G2/generic#9	97	83	69	0.6216216216	0.8033806947	0
G2/generic#0	G3/generic#9	97	107	71	0.5338345865	0.6710347739	0
G2/generic#0	G0/generic#10	97	102	73	0.5793650794	0.7333589963	0
G2/generic#0	G1/generic#10	97	77	61	0.5398230088	0.6957162239	0
G2/generic#0	G2/generic#10	97	69	60	0.5660377358	0.7535159331	0
G2/generic#0	G3/generic#10	97	104	70	0.534351145	0.6451632551	0
G2/generic#0	G0/generic#11	97	96	70	0.5691056911	0.6930217415	0
G2/generic#0	G1/generic#11	97	61	48	0.4363636364	0.627370752	0
G2/generic#0	G2/generic#11	97	98	51	0.3541666667	0.5757275899	0
G2/generic#0	G3/generic#11	97	121	80	0.5797101449	0.7415190466	0
G2/generic#0	G0/generic#12	97	97	78	0.6724137931	0.7853397859	0
G2/generic#0	G1/generic#12	97	91	75	0.6637168142	0.8063167124	0
G2/generic#0	G2/generic#12	97	94	69	0.5655737705	0.7311921993	0
G2/generic#0	G3/generic#12	97	102	81	0.686440678	0.8523764385	0
G2/generic#0	G0/generic#13	97	90	70	0.5982905983	0.7732813196	0
G2/generic#0	G1/generic#13	97	95	74	0.6271186441	0.8028471994	0
G2/generic#0	G2/generic#13	97	89	60	0.4761904762	0.6757141097	1
G2/generic#0	G3/generic#13	97	99	71	0.568	0.7194172464	0
G2/generic#0	G0/generic#14	97	109	75	0.572519084	0.7306027894	0
G2/generic#0	G1/generic#14	97	95	55	0.401459854	0.6339514998	0
G2/generic#0	G2/generic#14	97	97	73	0.6033057851	0.7387611824	0
G2/generic#0	G3/generic#14	97	89	67	0.5630252101	0.6933358802	0
G2/generic#0	G0/generic#15	97	93	68	0.5573770492	0.6991404199	1
G2/generic#0	G1/generic#15	97	110	74	0.5563909774	0.6719215032	0
G2/generic#0	G2/generic#15	97	108	77	0.6015625	0.7440817916	0
G2/generic#0	G3/generic#15	97	57	56	0.5714285714	0.711588951	0
G3/generic#0	G0/generic#1	111	103	95	0.7983193277	0.8644858398	0
G3/generic#0	G1/generic#1	111	86	70	0.5511811024	0.6739691559	0
G3/generic#0	G2/generic#1	111	62	58	0.5043478261	0.7115374595	0
G3/generic#0	G3/generic#1	111	82	77	0.6637931034	0.7667689128	0
