source	target	sign	permutations	empirical_p	fdr_q	max_block_observation_fraction	max_block_effect_weight_fraction	status
x004641	x008274	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x008275	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x009464	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x009465	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x009489	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x009496	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x009497	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x009526	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x009527	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x010314	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x010315	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x010700	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x010701	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004641	x010704	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004718	x000026	depleted	1000	0.998001998	1	0.1818181818	0.04333696828	EXPECTED_FROM_NULL
x004718	x000027	depleted	1000	0.977022977	1	0.125	0.03946258911	EXPECTED_FROM_NULL
x004718	x000272	preferred	1000	0.4695304695	1	1	0.06265410856	EXPECTED_FROM_NULL
x004718	x000348	preferred	10000	9.9990001e-05	0.006076750815	0.2	0.05804782872	SIGNIFICANT_UNSTABLE
x004718	x000349	preferred	10000	0.001199880012	0.02995979472	0.2	0.05215243753	SIGNIFICANT_UNSTABLE
x004718	x000356	depleted	1000	0.8391608392	1	0.5	0.03746081782	EXPECTED_FROM_NULL
x004718	x000357	depleted	1000	0.6533466533	1	1	0.03441972125	EXPECTED_FROM_NULL
x004718	x000409	preferred	1000	1	1	0.5	0.04119141865	EXPECTED_FROM_NULL
x004718	x000584	depleted	1000	0.5694305694	1	1	0.05125800789	EXPECTED_FROM_NULL
x004718	x000585	depleted	1000	0.8761238761	1	1	0.07368541206	EXPECTED_FROM_NULL
x004718	x000892	preferred	1000	1	1	1	0.03523187564	EXPECTED_FROM_NULL
x004718	x001269	depleted	1000	0.5704295704	1	0	0.05662181198	EXPECTED_FROM_NULL
x004718	x001389	preferred	1000	0.04095904096	0.2104131913	0.5	0.0368043025	EXPECTED_FROM_NULL
x004718	x003214	preferred	10000	0.007199280072	0.09715268143	0.5	0.03836048911	EXPECTED_FROM_NULL
x004718	x003215	preferred	1000	0.06493506494	0.268837846	1	0.03875570676	EXPECTED_FROM_NULL
x004718	x004258	preferred	1000	1	1	1	0.04230977578	EXPECTED_FROM_NULL
x004718	x004259	preferred	1000	1	1	0.5	0.04226185452	EXPECTED_FROM_NULL
x004718	x004418	preferred	1000	1	1	0.5	0.04259411386	EXPECTED_FROM_NULL
x004718	x004472	depleted	1000	1	1	0.1666666667	0.06627330364	EXPECTED_FROM_NULL
x004718	x004473	depleted	1000	1	1	0.1666666667	0.05549955069	EXPECTED_FROM_NULL
x004718	x005004	depleted	1000	0.993006993	1	0.2	0.04902125	EXPECTED_FROM_NULL
x004718	x005482	preferred	1000	1	1	1	0.03253252273	EXPECTED_FROM_NULL
x004718	x005738	preferred	1000	0.3366633367	0.7729099126	1	0.05783196059	EXPECTED_FROM_NULL
x004718	x005858	preferred	1000	1	1	1	0.03383178036	EXPECTED_FROM_NULL
x004718	x006018	preferred	1000	1	1	0	0.0334100427	EXPECTED_FROM_NULL
x004718	x006060	depleted	1000	0.9110889111	1	0.5	0.04946736945	EXPECTED_FROM_NULL
