Corpus	ChainLength	Chain
Voynich	4	altedy -> daltedy -> doltedy -> deeoltedy
Voynich	7	amam -> aman -> aran -> arany -> arary -> arar -> arash
Voynich	4	amom -> arom -> aro -> apo
Voynich	19	apchedy -> chpchedy -> chopchedy -> chokchedy -> chokchey -> chokcheo -> chokcho -> chokchol -> chkchol -> chdchol -> chfchol -> chefchol -> chefol -> chekol -> chekor -> chedor -> chedos -> chedchs -> chedees
Voynich	17	arain -> arg -> ariin -> asiin -> ase -> ese -> chese -> ches -> cher -> cheor -> chcpheor -> chkeor -> chkear -> chkar -> chekar -> chekair -> chakair
Voynich	27	aralar -> oralar -> odalar -> chodalar -> chodalr -> chodair -> chodar -> cfhodar -> cfholdar -> choldar -> cholar -> choar -> cheoar -> cheoaiin -> cheokaiin -> cheokal -> cheodal -> cheoda -> cheodam -> cheeodam -> chodam -> chodaiin -> chldaiin -> choldaiin -> choldal -> chodal -> chkodal
Voynich	6	araral -> araram -> oraram -> oaram -> charam -> charan
Voynich	44	archeey -> archey -> archeo -> rcheo -> dcheo -> dcheain -> dchain -> dain -> ckhain -> ckho -> ckheo -> ckheol -> cheol -> cheodl -> chodl -> chod -> chockh -> chockhy -> chocfhy -> chocfhdy -> chocfhey -> chockhey -> chockhdy -> chockhedy -> chockhed -> qockhed -> qockhedy -> ockhedy -> ochedy -> echedy -> efchedy -> fchedy -> fchdy -> fchcfhy -> fchecfhy -> fchey -> chey -> cheoy -> cheok -> cheokain -> cheokeain -> cheokey -> cheockey -> cheockay
Voynich	11	archol -> arol -> arod -> arodl -> arodly -> arody -> arojy -> aroky -> aroly -> aroshy -> arorshy
Voynich	6	arolkeedy -> arolkeey -> rolkeey -> cholkeey -> choekeey -> choekcheey
Voynich	6	aror -> aros -> taros -> tarol -> darol -> cfhdarol
Voynich	15	arshedy -> arshey -> arsheey -> orsheey -> olsheey -> dolsheey -> dolcheey -> cholcheey -> cholchey -> cheolchey -> cheolchcthy -> cheolchdy -> cheoldy -> chealdy -> chealpy
Voynich	29	arxor -> axor -> lxor -> lchor -> chor -> chkor -> chko -> chho -> chio -> chsho -> chshd -> chsd -> chsdy -> chpdy -> chpady -> chfady -> chfaly -> chkaly -> chekaly -> chedaly -> chedady -> chedydy -> chedyty -> chdyty -> cheyty -> chety -> chepy -> cheopy -> cheoepy
Voynich	11	ataiin -> atam -> atar -> chtar -> chetar -> cheotar -> cheodar -> cheodor -> cheokor -> cheokar -> cheoekar
Voynich	34	atchor -> chtchor -> chochor -> chocfhor -> chockhor -> chockhar -> chochar -> chocphar -> chocthar -> chokar -> chokag -> chkag -> chkaiin -> chfaiin -> chpaiin -> chpal -> chkal -> chkam -> chlam -> chlal -> chelal -> chetal -> chetam -> cheetam -> chotam -> cheotam -> cheojam -> cheokam -> chokam -> chokaiin -> chokal -> chokaly -> cheokaly -> chedkaly
Voynich	30	ateey -> aty -> chty -> chhty -> choty -> chochy -> chkchy -> chkeey -> chkeedy -> chkedy -> chkey -> chkeeey -> chokeeey -> choctheeey -> chocthey -> chocthedy -> chocthody -> chokody -> chekody -> chetody -> chetdy -> chetchy -> chctchy -> chotchy -> cheotchy -> cheotchey -> cheotey -> cheoetey -> cheoltey -> sheoltey
Voynich	3	atolg -> tolg -> tgolg
Voynich	27	cfair -> ofair -> oair -> dair -> daiiin -> cphaiiin -> kaiiin -> kai -> ka -> ha -> h -> cth -> cthain -> cthd -> cthdy -> cthedy -> cphedy -> cpheckhy -> ckheckhy -> ckhey -> ckheeey -> ckhhey -> ckhhcphy -> ckhhy -> ckhcfhhy -> ocfhhy -> docfhhy
Voynich	3	chairal -> dairal -> daiiral
Voynich	3	chalaly -> chaloly -> chalolky
Voynich	23	chald -> chalr -> chalor -> charor -> choror -> chodor -> chodo -> chodol -> chockhol -> chocphol -> chofol -> chfol -> chkol -> chkeeol -> chkeeal -> keeal -> deeal -> dal -> dail -> dairl -> dairg -> daimg -> daimd
Voynich	8	chalkain -> chalky -> cholky -> choeky -> choefy -> choety -> chocty -> choctoy
Voynich	5	chalkar -> chaltar -> choltar -> cheoltar -> checholtar
Voynich	35	chals -> chalsain -> salsain -> sals -> dals -> daiinls -> daiins -> dais -> daiis -> daiir -> deeaiir -> seeaiir -> saiir -> faiir -> faiis -> saiis -> saii -> sai -> sa -> qa -> q -> d -> dc -> dch -> dchd -> dched -> dchedain -> dcheodain -> dcheod -> dcheodl -> dcheody -> dcheeody -> dcheeoy -> dcheeey -> dcheecthey
Voynich	5	charain -> chariin -> dariin -> daraiin -> daraiing
Voynich	3	chdairod -> dairod -> daarod
Voynich	4	chdalor -> chealor -> chealainor -> chealror
Voynich	5	chdykain -> cheykain -> cheyky -> cheoky -> cheooky
Voynich	6	cheaikhy -> cheoikhy -> choikhy -> choiphy -> choithy -> chtoithy
Voynich	25	chealol -> shealol -> sheolol -> sheodol -> shedol -> shdol -> dol -> ckhol -> ckheeol -> deeol -> dainol -> daindl -> dainl -> dainy -> day -> daky -> dalky -> dalkain -> dalain -> dald -> dalg -> dalo -> dalor -> dalchor -> dalchom
Voynich	10	chearaiin -> chearam -> chparam -> oparam -> ofaram -> ofaraiin -> ofaral -> oaral -> ctharal -> ctharad
Voynich	4	chedaiiin -> chekaiiin -> chekaim -> chekais
Voynich	24	chedykar -> cheykar -> cheykaiin -> chykaiin -> chydaiin -> pydaiin -> opydaiin -> opdaiin -> odaiin -> cthodaiin -> cthoaiin -> cthoiin -> choiin -> chiin -> chk -> chkain -> chky -> chkoy -> chkshy -> cheshy -> chery -> chesy -> cheosy -> cheosdy
Voynich	5	chedyl -> chedyo -> chedyor -> chedyr -> fchedyr
Voynich	66	chedyteey -> chedytey -> cheytey -> chetey -> chesey -> chsey -> chsky -> choky -> chocphy -> chocthy -> chocthhy -> qocthhy -> qcthhy -> cthhy -> ctheey -> cpheey -> cpheeain -> cpheeg -> cpheeo -> cpheo -> cpheol -> cpheal -> ckheal -> ckhear -> ckheor -> ckheos -> ckhos -> chos -> chls -> chl -> chly -> choly -> choeey -> choeea -> choees -> chochs -> chods -> chodys -> ckhodys -> odys -> dys -> das -> dan -> cthan -> cthar -> cthear -> ctheor -> cpheor -> cphdor -> cphor -> ckhor -> ckhod -> ckhoiin -> ckhosh -> ckhoy -> choy -> chof -> chofo -> chofy -> chofchy -> chodchy -> choddy -> chodey -> chokey -> choekey -> cheeoekey
Voynich	11	cheekeo -> chokeo -> chokeeo -> chokeed -> chokeedy -> chokedy -> chokeody -> chokeeody -> chkeeody -> chkchody -> chkchory
Voynich	4	cheeoldy -> chkoldy -> chokoldy -> chodoldy
Voynich	8	cheeool -> chool -> chlol -> chlor -> cholor -> cheolor -> cheoor -> cheopor
