window_size	method	k	silhouette	within_cluster_dispersion	between_cluster_distance	cluster_sizes	transition_count	segment_fragmentation
100	hierarchical	13	0.04266570957212315	0.8182672711182681	0.8561177773274142	9,4157,17,18,18,18,18,17,17,18,19,18,18	30	2.3846153846153846
100	hierarchical	14	0.04616190555517954	0.81795617758667	0.8554530435477855	9,4140,17,18,18,18,18,17,17,18,17,19,18,18	32	2.357142857142857
100	hierarchical	15	0.05032953600003588	0.81761114809507	0.8550678173267144	9,4122,17,18,18,18,18,18,17,17,18,17,19,18,18	34	2.3333333333333335
200	hierarchical	2	0.0994386779708054	0.7366908137530647	0.8144032843149185	2160,16	2	1.5
200	hierarchical	3	0.05144160220047063	0.7363539847234207	0.7921919679267708	2143,17,16	4	1.6666666666666667
200	hierarchical	4	0.04023070012241962	0.7359860810221802	0.7856307998545161	2127,17,16,16	6	1.75
200	hierarchical	5	0.04084618622272534	0.7355283184985447	0.7843870997729203	2110,17,17,16,16	8	1.8
200	hierarchical	6	0.039961728657807415	0.7352327615114577	0.7803901434909323	2094,17,16,17,16,16	10	1.8333333333333333
200	hierarchical	7	0.03365526475847112	0.7350769093430325	0.775434398233141	2078,16,17,16,17,16,16	12	1.8571428571428572
200	hierarchical	8	0.03485041734956281	0.7347665278865976	0.7739487949306985	2069,16,17,16,17,16,16,9	13	1.75
200	hierarchical	9	0.037997755357174125	0.7344201433843768	0.7731996331405784	2058,16,17,16,17,14,13,16,9	14	1.6666666666666667
200	hierarchical	10	0.04205552769477167	0.7340040225998771	0.7732814730786491	2041,16,17,17,16,17,14,13,16,9	16	1.7
200	hierarchical	11	0.040642311696481526	0.733868622587901	0.7706945278982215	2023,16,17,17,16,17,14,13,18,16,9	18	1.7272727272727273
200	hierarchical	12	0.045352240811594335	0.733417995860878	0.7711845646032961	2006,16,17,17,16,17,17,14,13,18,16,9	20	1.75
200	hierarchical	13	0.04725530889607625	0.7331920670365263	0.7698371321962747	1990,16,17,16,17,16,17,17,14,13,18,16,9	22	1.7692307692307692
200	hierarchical	14	0.05041369970879085	0.7329549719030156	0.7687493260113422	1973,16,17,16,17,16,17,17,14,13,18,16,17,9	24	1.7857142857142858
200	hierarchical	15	0.053454275143366294	0.7325516297613843	0.7688538720902376	1956,16,17,17,16,17,16,17,17,14,13,18,16,17,9	26	1.8
500	hierarchical	2	0.022556254345907592	0.605472766351833	0.6194712820763429	334,531	1	1
500	hierarchical	3	0.026040365543952643	0.6000690287706143	0.619136327622575	332,127,406	2	1
500	hierarchical	4	0.028905604311129693	0.5957033388506883	0.619136620935332	330,63,67,405	3	1
500	hierarchical	5	0.03029273112401596	0.5905814305955822	0.6191271849349046	330,37,27,66,405	4	1
500	hierarchical	6	0.03627938946708575	0.5848037641666918	0.6191130436042599	52,278,37,27,66,405	5	1
500	hierarchical	7	0.0438137855852456	0.5798212891564549	0.6195500079945833	51,78,201,37,27,66,405	6	1
500	hierarchical	8	0.05006406510106065	0.5747315998571334	0.6201497269372938	51,78,201,37,27,62,19,390	7	1
500	hierarchical	9	0.05441243699178809	0.5692765564560186	0.6184963089378437	51,78,201,37,27,62,18,111,280	8	1
