corpus_id	representation_id	family	metric_id	regime	checkpoint_requested	checkpoint_actual	replicate	seed	value	comparable
C06	MUSIC-R2	D	D_PAGE_EXCLUSIVITY		5000	4999	0	5819448862969934071	0.157894736842	true
C06	MUSIC-R2	D	D_PAGE_VARIANCE_SHARE		5000	4999	0	5819448862969934071	0	true
C06	MUSIC-R2	D	D_PAGE_PROGRESSION		5000	4999	0	5819448862969934071	0	true
C06	MUSIC-R2	D	D_LOCUS_COHERENCE		5000	4999	0	5819448862969934071		false
C06	MUSIC-R2	D	D_LOCUS_EXCLUSIVITY		5000	4999	0	5819448862969934071		false
C06	MUSIC-R2	D	D_LOCUS_VARIANCE_SHARE		5000	4999	0	5819448862969934071		false
C06	MUSIC-R2	D	D_LOCUS_PROGRESSION		5000	4999	0	5819448862969934071		false
C06	MUSIC-R2	CURVE	A2_BIGRAM_TYPES		5000	4999	0	5819448862969934071	0	true
C06	MUSIC-R2	CURVE	A3_TRIGRAM_TYPES		5000	4999	0	5819448862969934071	0	true
C06	MUSIC-R2	CURVE	AT_TRANSITION_TYPES		5000	4999	0	5819448862969934071	148	true
C06	MUSIC-R2	L	L01_LINE_TOKEN_COUNT_MEAN		5000	5000	0	4685211864997647205	10.5042016807	true
C06	MUSIC-R2	L	L02_LINE_SYMBOL_COUNT_MEAN		5000	5000	0	4685211864997647205	10.5042016807	true
C06	MUSIC-R2	L	L03_BOUNDARY_SPECIALIZATION		5000	5000	0	4685211864997647205	0.3	true
C06	MUSIC-R2	L	L04_POSITION_PROGRESSION		5000	5000	0	4685211864997647205	0	true
C06	MUSIC-R2	L	L05_LINE_ASYMMETRY		5000	5000	0	4685211864997647205	0.329522320944	true
C06	MUSIC-R2	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	FREQ_GE_5	5000	5000	0	4685211864997647205	0.961904761905	true
C06	MUSIC-R2	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	FREQ_GE_5	5000	5000	0	4685211864997647205	0.0380952380952	true
C06	MUSIC-R2	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	FREQ_GE_10	5000	5000	0	4685211864997647205	0.961904761905	true
C06	MUSIC-R2	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	FREQ_GE_10	5000	5000	0	4685211864997647205	0.0380952380952	true
C06	MUSIC-R2	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	TOP_100	5000	5000	0	4685211864997647205	0.668421052632	true
C06	MUSIC-R2	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	TOP_100	5000	5000	0	4685211864997647205	0.331578947368	true
C06	MUSIC-R2	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	TOP_250	5000	5000	0	4685211864997647205	0.668421052632	true
C06	MUSIC-R2	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	TOP_250	5000	5000	0	4685211864997647205	0.331578947368	true
C06	MUSIC-R2	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	MATCHED_VOCAB	5000	5000	0	4685211864997647205	0.668421052632	true
C06	MUSIC-R2	L	L07_SAME_LINE_NONCOOCCURRENCE_DENSITY	MATCHED_VOCAB	5000	5000	0	4685211864997647205	0.331578947368	true
C06	MUSIC-R2	G	G01_ALPHABET_SIZE		5000	5001	1	8343227946566764328	18	true
C06	MUSIC-R2	G	G02_INITIAL_RESTRICTION_DENSITY		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	G	G03_FINAL_RESTRICTION_DENSITY		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	G	G04_BIGRAM_OCCUPANCY		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	G	G05_TRIGRAM_OCCUPANCY		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	G	G06_SYMBOL_CONDITIONAL_ENTROPY_NORM		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	G	G07_HIGHER_ORDER_ENTROPY_REDUCTION		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	G	G08_MEAN_SYMBOLS_PER_TOKEN		5000	5001	1	8343227946566764328	1	true
C06	MUSIC-R2	T	T01_MEAN_TOKEN_LENGTH		5000	5001	1	8343227946566764328	1	true
C06	MUSIC-R2	T	T02_TOKEN_LENGTH_SD		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	T	T03_UNIQUE_TOKEN_RATIO		5000	5001	1	8343227946566764328	0.00359928014397	true
C06	MUSIC-R2	T	T04_HAPAX_RATIO		5000	5001	1	8343227946566764328	0.0555555555556	true
C06	MUSIC-R2	T	T05_PREFIX_DIVERSITY		5000	5001	1	8343227946566764328	1	true
C06	MUSIC-R2	T	T06_SUFFIX_DIVERSITY		5000	5001	1	8343227946566764328	1	true
C06	MUSIC-R2	T	T07_EDIT_GRAPH_DENSITY		5000	5001	1	8343227946566764328	1	true
C06	MUSIC-R2	T	T08_EDIT_GRAPH_GIANT_SHARE		5000	5001	1	8343227946566764328	1	true
C06	MUSIC-R2	T	T09_EDIT_GRAPH_CLUSTERING		5000	5001	1	8343227946566764328	1	true
C06	MUSIC-R2	T	T10_EDIT_DEGREE_FREQUENCY_SPEARMAN		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	T	T11_POSITIONAL_RESTRICTION_DENSITY		5000	5001	1	8343227946566764328	0.333333333333	true
C06	MUSIC-R2	S	S01_TRANSITION_DENSITY	FREQ_GE_5	5000	5001	1	8343227946566764328	0.57421875	true
C06	MUSIC-R2	S	S02_TRANSITION_ZERO_DENSITY	FREQ_GE_5	5000	5001	1	8343227946566764328	0.42578125	true
C06	MUSIC-R2	S	S03_TRANSITION_ENTROPY_NORM	FREQ_GE_5	5000	5001	1	8343227946566764328	0.691006908374	true
C06	MUSIC-R2	S	S06_PREFERRED_TRANSITION_FRACTION	FREQ_GE_5	5000	5001	1	8343227946566764328	0.19	true
C06	MUSIC-R2	S	S07_DEPLETED_TRANSITION_FRACTION	FREQ_GE_5	5000	5001	1	8343227946566764328	0.35	true
C06	MUSIC-R2	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	FREQ_GE_5	5000	5001	1	8343227946566764328	0.103511105099	true
C06	MUSIC-R2	S	S01_TRANSITION_DENSITY	FREQ_GE_10	5000	5001	1	8343227946566764328	0.673469387755	true
C06	MUSIC-R2	S	S02_TRANSITION_ZERO_DENSITY	FREQ_GE_10	5000	5001	1	8343227946566764328	0.326530612245	true
C06	MUSIC-R2	S	S03_TRANSITION_ENTROPY_NORM	FREQ_GE_10	5000	5001	1	8343227946566764328	0.720418880457	true
C06	MUSIC-R2	S	S06_PREFERRED_TRANSITION_FRACTION	FREQ_GE_10	5000	5001	1	8343227946566764328	0.191919191919	true
C06	MUSIC-R2	S	S07_DEPLETED_TRANSITION_FRACTION	FREQ_GE_10	5000	5001	1	8343227946566764328	0.343434343434	true
C06	MUSIC-R2	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	FREQ_GE_10	5000	5001	1	8343227946566764328	0.105424011135	true
C06	MUSIC-R2	S	S01_TRANSITION_DENSITY	TOP_100	5000	5001	1	8343227946566764328	0.472222222222	true
C06	MUSIC-R2	S	S02_TRANSITION_ZERO_DENSITY	TOP_100	5000	5001	1	8343227946566764328	0.527777777778	true
C06	MUSIC-R2	S	S03_TRANSITION_ENTROPY_NORM	TOP_100	5000	5001	1	8343227946566764328	0.664449726117	true
C06	MUSIC-R2	S	S06_PREFERRED_TRANSITION_FRACTION	TOP_100	5000	5001	1	8343227946566764328	0.19	true
C06	MUSIC-R2	S	S07_DEPLETED_TRANSITION_FRACTION	TOP_100	5000	5001	1	8343227946566764328	0.35	true
C06	MUSIC-R2	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	TOP_100	5000	5001	1	8343227946566764328	0.0998018251629	true
C06	MUSIC-R2	S	S01_TRANSITION_DENSITY	TOP_250	5000	5001	1	8343227946566764328	0.472222222222	true
C06	MUSIC-R2	S	S02_TRANSITION_ZERO_DENSITY	TOP_250	5000	5001	1	8343227946566764328	0.527777777778	true
C06	MUSIC-R2	S	S03_TRANSITION_ENTROPY_NORM	TOP_250	5000	5001	1	8343227946566764328	0.664449726117	true
C06	MUSIC-R2	S	S06_PREFERRED_TRANSITION_FRACTION	TOP_250	5000	5001	1	8343227946566764328	0.19	true
C06	MUSIC-R2	S	S07_DEPLETED_TRANSITION_FRACTION	TOP_250	5000	5001	1	8343227946566764328	0.35	true
C06	MUSIC-R2	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	TOP_250	5000	5001	1	8343227946566764328	0.0998018251629	true
C06	MUSIC-R2	S	S01_TRANSITION_DENSITY	MATCHED_VOCAB	5000	5001	1	8343227946566764328	0.472222222222	true
C06	MUSIC-R2	S	S02_TRANSITION_ZERO_DENSITY	MATCHED_VOCAB	5000	5001	1	8343227946566764328	0.527777777778	true
C06	MUSIC-R2	S	S03_TRANSITION_ENTROPY_NORM	MATCHED_VOCAB	5000	5001	1	8343227946566764328	0.664449726117	true
C06	MUSIC-R2	S	S06_PREFERRED_TRANSITION_FRACTION	MATCHED_VOCAB	5000	5001	1	8343227946566764328	0.19	true
C06	MUSIC-R2	S	S07_DEPLETED_TRANSITION_FRACTION	MATCHED_VOCAB	5000	5001	1	8343227946566764328	0.35	true
C06	MUSIC-R2	S	S08_HIGHER_ORDER_PREDICTIVE_GAIN	MATCHED_VOCAB	5000	5001	1	8343227946566764328	0.0998018251629	true
C06	MUSIC-R2	S	S04_REPEATED_BIGRAM_TYPES		5000	5001	1	8343227946566764328	114	true
C06	MUSIC-R2	S	S05_REPEATED_TRIGRAM_TYPES		5000	5001	1	8343227946566764328	336	true
C06	MUSIC-R2	D	D_LINE_COHERENCE		5000	5001	1	8343227946566764328	0.63805313337	true
C06	MUSIC-R2	D	D_LINE_EXCLUSIVITY		5000	5001	1	8343227946566764328	0.0555555555556	true
C06	MUSIC-R2	D	D_LINE_VARIANCE_SHARE		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	D	D_LINE_PROGRESSION		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	D	D_SECTION_COHERENCE		5000	5001	1	8343227946566764328	0.888888888889	true
C06	MUSIC-R2	D	D_SECTION_EXCLUSIVITY		5000	5001	1	8343227946566764328	0.111111111111	true
C06	MUSIC-R2	D	D_SECTION_VARIANCE_SHARE		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	D	D_SECTION_PROGRESSION		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	D	D_PAGE_COHERENCE		5000	5001	1	8343227946566764328	0.703003423592	true
C06	MUSIC-R2	D	D_PAGE_EXCLUSIVITY		5000	5001	1	8343227946566764328	0.0555555555556	true
C06	MUSIC-R2	D	D_PAGE_VARIANCE_SHARE		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	D	D_PAGE_PROGRESSION		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	D	D_LOCUS_COHERENCE		5000	5001	1	8343227946566764328		false
C06	MUSIC-R2	D	D_LOCUS_EXCLUSIVITY		5000	5001	1	8343227946566764328		false
C06	MUSIC-R2	D	D_LOCUS_VARIANCE_SHARE		5000	5001	1	8343227946566764328		false
C06	MUSIC-R2	D	D_LOCUS_PROGRESSION		5000	5001	1	8343227946566764328		false
C06	MUSIC-R2	CURVE	A2_BIGRAM_TYPES		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	CURVE	A3_TRIGRAM_TYPES		5000	5001	1	8343227946566764328	0	true
C06	MUSIC-R2	CURVE	AT_TRANSITION_TYPES		5000	5001	1	8343227946566764328	153	true
C06	MUSIC-R2	L	L01_LINE_TOKEN_COUNT_MEAN		5000	4996	1	542590317221753209	10.5847457627	true
C06	MUSIC-R2	L	L02_LINE_SYMBOL_COUNT_MEAN		5000	4996	1	542590317221753209	10.5847457627	true
C06	MUSIC-R2	L	L03_BOUNDARY_SPECIALIZATION		5000	4996	1	542590317221753209	0.3	true
C06	MUSIC-R2	L	L04_POSITION_PROGRESSION		5000	4996	1	542590317221753209	0	true
C06	MUSIC-R2	L	L05_LINE_ASYMMETRY		5000	4996	1	542590317221753209	0.323746988094	true
C06	MUSIC-R2	L	L06_SAME_LINE_COOCCURRENCE_DENSITY	FREQ_GE_5	5000	4996	1	542590317221753209	0.971428571429	true
