transcription	model_class	candidate_id	failed	failure_reason	dev_pm2	complexity_total	structure_cost	lexicon_cost	exception_cost	free_params	states	rules	components
IT2a	M2	M2-006	FALSE		2.221302098	42567.65071	42326.55007	241.1006378	0	3363	3363	0	0
IT2a	M2	M2-007	FALSE		2.185001536	384002.5803	383761.4796	241.1006378	0	30488	30488	0	0
IT2a	M2	M2-008	FALSE		2.20570487	168140.18	167899.0794	241.1006378	0	13339	13339	0	0
IT2a	M2	M2-009	FALSE		2.219697019	93433.58805	93192.48741	241.1006378	0	7404	7404	0	0
IT2a	M3	M3-001	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M3	M3-002	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M3	M3-003	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M3	M3-004	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M3	M3-005	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M3	M3-006	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M3	M3-007	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M3	M3-008	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M3	M3-009	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-001	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-002	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-003	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-004	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-005	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-006	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-007	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-008	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-009	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-010	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-011	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-012	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-013	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-014	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-015	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-016	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-017	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-018	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-019	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-020	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-021	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-022	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-023	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-024	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-025	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-026	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M4	M4-027	TRUE	TRAINING_FAILED: induction operation cap exceeded	0	0	0	0	0	0	0	0	0
IT2a	M5	M5-001	FALSE		2.123258366	86505.05425	82.84326089	4018.334658	82403.87633	0	0	12	372
IT2a	M5	M5-002	FALSE		2.174533989	77421.60566	105.2591711	7019.179387	70297.1671	0	0	12	637
IT2a	M5	M5-003	FALSE		2.123258366	86505.05425	82.84326089	4018.334658	82403.87633	0	0	12	372
IT2a	M5	M5-004	FALSE		2.174533989	77421.60566	105.2591711	7019.179387	70297.1671	0	0	12	637
IT2a	M5	M5-005	FALSE		2.123258366	86505.05425	82.84326089	4018.334658	82403.87633	0	0	12	372
IT2a	M5	M5-006	FALSE		2.174533989	77421.60566	105.2591711	7019.179387	70297.1671	0	0	12	637
IT2a	M5	M5-007	FALSE		2.312374395	56690.15553	315.4567406	15648.1969	40726.5019	0	0	36	1360
IT2a	M5	M5-008	FALSE		2.355132803	47713.00738	431.9950329	28071.75434	19209.25801	0	0	39	2308
IT2a	M5	M5-009	FALSE		2.312317264	56582.9951	309.7462472	15439.19274	40834.05612	0	0	33	1345
IT2a	M5	M5-010	FALSE		2.354948388	47538.78434	421.579234	27782.74227	19334.46284	0	0	37	2288
IT2a	M5	M5-011	FALSE		2.312206107	56497.46213	304.531928	15297.27167	40895.65853	0	0	32	1335
IT2a	M5	M5-012	FALSE		2.354729704	47411.34507	414.4104227	27552.91759	19444.01706	0	0	36	2272
IT2a	M5	M5-013	FALSE		2.441766512	48403.78965	776.5953076	37604.1578	10023.03654	0	0	76	3036
IT2a	M5	M5-014	FALSE		2.422540513	57850.88673	958.4621156	53404.34014	3488.084474	0	0	87	4128
IT2a	M5	M5-015	FALSE		2.441447679	47911.94478	753.1160545	36871.73194	10287.09679	0	0	69	2985
IT2a	M5	M5-016	FALSE		2.421395012	56325.07228	884.6597721	51295.00271	4145.409801	0	0	72	3983
IT2a	M5	M5-017	FALSE		2.439281134	46647.75881	680.7735979	34714.55103	11252.43418	0	0	59	2832
IT2a	M5	M5-018	FALSE		2.418008506	54395.31923	792.8459087	48332.22011	5270.253218	0	0	62	3776
