rank	token_a	token_b	count_a	count_b	persistence_1_5	mean_js_1_5	mean_js_6_10	mean_js_11_20	js_d1	percentile_d1	js_d2	percentile_d2	js_d3	percentile_d3	js_d5	percentile_d5	js_d10	percentile_d10	js_d20	percentile_d20
11	x009497	x010315	53	179	83.41535615171139	0.28315280223329	0.18316240885763715	0.20592532626924695	0.4307645201149387	98.05735430157262	0.27193293020719467	93.6077705827937	0.22662621796444726	80.33302497687326	0.3112519781262072	93.06197964847364	0.1632339481292755	47.49306197964847	0.14204575252910756	37.20629047178539
12	x006348	x010055	549	91	82.34782608695653	0.33430783121318897	0.3285029984731274	0.30528025281649157	0.6153321084483778	99.72247918593895	0.13887831719437016	42.765957446808514	0.32084696600806395	95.2913968547641	0.22742549237742515	76.41073080481036	0.30878674538652284	93.0249768732655	0.35157562051251523	96.87326549491212
13	x004718	x010055	338	91	80.82886216466235	0.34832199241323	0.30077349894861183	0.28868220199643485	0.6583263461175342	99.85198889916744	0.11428021596116	29.92599444958372	0.36339347998993343	97.46530989824237	0.23721796653621752	79.38020351526364	0.2719619439536973	88.34412580943571	0.3139642554229739	94.19056429232192
14	x003821	x010055	77	91	74.81961147086031	0.2711917389720438	0.21669311645111627	0.2303757244142261	0.5292645286898687	99.24144310823311	0.1679855161454612	57.76133209990749	0.2313638671888758	81.74838112858464	0.1690659497137571	50.22201665124884	0.19669665007287318	64.74560592044404	0.2422174561352507	82.08140610545792
15	x006383	x010055	84	91	74.72710453283996	0.3310047549708863	0.20459374524029045	0.22281374216729627	0.72745124830749	99.96299722479186	0.13055819332714302	38.399629972247915	0.35233460455911547	97.01202590194265	0.1667113856343183	48.92691951896392	0.1464274575329899	38.34412580943571	0.2651439235582287	87.38205365402405
16	x005730	x010617	32	67	68.65124884366328	0.25885055356161407	0.15003505130065664	0.14654918713955603	0.5135211089342324	99.11193339500463	0.23681755943670135	86.45698427382054	0.13037736199117067	31.017576318223867	0.25615753775783934	84.27382053654024	0.1573791996881274	44.32007400555042	0.2287610802003629	78.36262719703977
17	x008248	x010617	35	67	65.30804810360777	0.23862179286914637	0.16147765611212211	0.15464949751268503	0.46678972669380736	98.67715078630897	0.21308530870841114	78.27012025901942	0.1271418934474864	29.315448658649398	0.22331291653074747	75.13413506012951	0.13626147128569022	32.867715078630894	0.14528452136915015	39.056429232192414
18	x008353	x010617	41	67	64.19981498612395	0.23700309097948766	0.1703923091465126	0.17047449079238733	0.48109144009342364	98.79740980573543	0.21065631519193462	77.3172987974098	0.17386373543386047	56.41073080481036	0.15777918861138795	43.97779833487512	0.20992830603278667	70.63829787234043	0.11296713755039267	21.54486586493987
19	x005731	x010617	38	67	59.13413506012951	0.23007357093067798	0.15893199335128186	0.19487047004019872	0.4863244424703317	98.86216466234967	0.19342174195810913	69.94449583718779	0.09826044373644716	15.892691951896392	0.22980040769882015	77.09528214616097	0.1738333064873978	52.97872340425532	0.17168227776255074	54.098057354301574
20	x004929	x010054	45	102	57.256244218316375	0.2406563566736848	0.1993312580863746	0.20863765327724618	0.6126859244014506	99.72247918593895	0.014229963014709024	1.6836262719703978	0.21749970571161814	77.25254394079556	0.20866826184791099	69.2876965772433	0.19641645337764935	64.59759481961147	0.22067173173847943	75.93894542090656
