target_a	target_b	control_rank	control_a	control_b	distance	js_similarity	weighted_overlap	jaccard_support_overlap	observations_a	observations_b	reliability
x004719	x010526	2	x006441	x010279	4	0.3420164861020517	0.257574072013943	0.12	89	303	1
x004719	x010526	2	x006441	x010279	5	0.250107220915861	0.18355768161085775	0.07913669064748201	89	303	1
x004719	x010526	2	x006441	x010279	6	0.22082069438202545	0.16375570141283788	0.06859205776173286	89	303	1
x004719	x010526	2	x006441	x010279	7	0.29052576719608203	0.21923091185523053	0.09578544061302682	89	303	1
x004719	x010526	2	x006441	x010279	8	0.3171294621855709	0.23966329217191393	0.11923076923076924	89	303	1
x004719	x010526	2	x006441	x010279	9	0.2924901241095257	0.20272926169021405	0.11152416356877323	89	303	1
x004719	x010526	2	x006441	x010279	10	0.3225879085275404	0.2351021619015835	0.13253012048192772	89	303	1
x004719	x010526	2	x006441	x010279	11	0.2521715613183114	0.17758742166351468	0.07942238267148015	89	303	1
x004719	x010526	2	x006441	x010279	12	0.29070048234818935	0.2046946267660474	0.10984848484848485	89	303	1
x004719	x010526	2	x006441	x010279	13	0.32538002924752685	0.254199577261097	0.12301587301587301	89	303	1
x004719	x010526	2	x006441	x010279	14	0.30537939390236424	0.2430377869247599	0.10294117647058823	89	303	1
x004719	x010526	2	x006441	x010279	15	0.27439184518489557	0.19542403678570106	0.09363295880149813	89	303	1
x004719	x010526	2	x006441	x010279	16	0.28528788199664534	0.21923091185523047	0.1	89	303	1
x004719	x010526	2	x006441	x010279	17	0.19609458980643724	0.14198835613898467	0.08156028368794327	89	303	1
x004719	x010526	2	x006441	x010279	18	0.2942577155659595	0.2258315719212371	0.10384615384615385	89	303	1
x004719	x010526	2	x006441	x010279	19	0.2786629002260964	0.20869952163755703	0.0931174089068826	89	303	1
x004719	x010526	2	x006441	x010279	20	0.23004117194570517	0.16312530129417438	0.08118081180811808	89	303	1
x004719	x010526	3	x004472	x007926	1	0	0	0	264	116	1
x004719	x010526	3	x004472	x007926	2	0.31564158047106405	0.23328108672936254	0.13122171945701358	264	116	1
x004719	x010526	3	x004472	x007926	3	0.2840391556767381	0.20088819226750254	0.1125	264	116	1
x004719	x010526	3	x004472	x007926	4	0.2565511484638956	0.19331243469174497	0.11196911196911197	264	116	1
x004719	x010526	3	x004472	x007926	5	0.2882964430543994	0.2187826541274817	0.10305343511450382	264	116	1
x004719	x010526	3	x004472	x007926	6	0.3306408558235836	0.2511755485893416	0.12757201646090535	264	116	1
x004719	x010526	3	x004472	x007926	7	0.3055385853312289	0.21827061754293958	0.11372549019607843	263	116	1
