mechanism	corpus	replicates	token_order_bits	token_order_ci_lo	token_order_ci_hi	edge_order_bits	weighted_entropy	giant_component_fraction	exact_adjacent_repeat_rate	h1	h2	h3	h4	position_gain_bits	order_gain_bits	adjacent_near_rate	residual_adjacency	correlation_length_tokens	cluster_stability	within_cluster_drift	line_boundary_delta	topology
M3_FORM_LOW	Astafiev	5	0.0409123018	0.0376580418	0.0441665618	0.000358656429	0.0450479128	0	0.0972348525	2.69919199	0.864942771	0.751889041	0.736073304	1.49182322	0.897542448	0.334604739	-0.0319383145	0	0	0	0	NOT_COMPUTED
M3_FORM_LOW	Doyle	5	0.0261692652	0.0183684727	0.0339700576	2.23118077e-05	0.0505804783	0	0.0933725251	2.69880891	0.904447346	0.774592895	0.745337319	1.48115669	0.858018531	0.337870439	-0.0169784311	0	0	0	0	NOT_COMPUTED
M3_FORM_LOW	Longfellow	5	0.0409458783	0.025522732	0.0563690245	0.00297945095	0.048147812	0	0.0850248975	2.71042106	0.92091175	0.800311317	0.737909065	1.48485325	0.860652327	0.335197726	-0.022784552	0	0	0	0	NOT_COMPUTED
M3_FORM_MEDIUM	Astafiev	5	1.01029399	0.954016692	1.0665713	0.00684683343	0.110286096	0	0.00866025167	3.30175126	1.70698169	1.52167901	1.37300616	1.27690756	0.765446599	0.0514487417	-0.00956726032	0	0	0	0	NOT_COMPUTED
M3_FORM_MEDIUM	Doyle	5	0.391351241	0.375238202	0.407464279	0.00893605088	0.0996240294	0	0.00900671066	3.32841265	1.70990884	1.52432937	1.32457111	1.28730422	0.805042862	0.0428248559	-0.0172564243	0	0	0	0	NOT_COMPUTED
M3_FORM_MEDIUM	Longfellow	5	0.352762853	0.334902028	0.370623678	0.0154008925	0.0997742315	0	0.00647334505	3.33933676	1.72150439	1.54749217	1.33759661	1.28727005	0.814598554	0.0411113799	-0.0261883449	0	0	0	0	NOT_COMPUTED
M4_STATE_K2_A	Astafiev	5	1.1616842	1.14073626	1.18263215	0.252093957	0.868142346	0	0.000185048113	4.23468578	3.62260744	2.77891001	1.81682963	0.160628513	0.539275837	0.014947053	-0.0237473844	0	0	0	0	NOT_COMPUTED
M4_STATE_K2_A	Doyle	5	0.832633647	0.816019057	0.849248238	0.250633206	0.957483479	0	6.10060451e-05	4.23445031	3.56678614	2.8433133	2.10734283	0.183716665	0.616648847	0.00645521725	-0.0239334035	0	0	0	0	NOT_COMPUTED
M4_STATE_K2_A	Longfellow	5	0.677791212	0.67255578	0.683026643	0.276038269	0.901095351	0	1.4645577e-05	4.27989804	3.54875727	2.76871031	1.94731058	0.169071354	0.647479356	0.00181400411	-0.0328791945	0	0	0	0	NOT_COMPUTED
M4_STATE_K2_B	Astafiev	5	1.1616842	1.14073626	1.18263215	0.252093957	0.868142346	0	0.000185048113	4.23468578	3.62260744	2.77891001	1.81682963	0.160628513	0.539275837	0.014947053	-0.0237473844	0	0	0	0	NOT_COMPUTED
M4_STATE_K2_B	Doyle	5	0.832633647	0.816019057	0.849248238	0.250633206	0.957483479	0	6.10060451e-05	4.23445031	3.56678614	2.8433133	2.10734283	0.183716665	0.616648847	0.00645521725	-0.0239334035	0	0	0	0	NOT_COMPUTED
M4_STATE_K2_B	Longfellow	5	0.677791212	0.67255578	0.683026643	0.276038269	0.901095351	0	1.4645577e-05	4.27989804	3.54875727	2.76871031	1.94731058	0.169071354	0.647479356	0.00181400411	-0.0328791945	0	0	0	0	NOT_COMPUTED
M4_STATE_K2_C	Astafiev	5	1.1616842	1.14073626	1.18263215	0.252093957	0.868142346	0	0.000185048113	4.23468578	3.62260744	2.77891001	1.81682963	0.160628513	0.539275837	0.014947053	-0.0237473844	0	0	0	0	NOT_COMPUTED
