metadata	method	metric	scope	statistic	window_50_max_nmi	window_100_max_nmi	window_200_max_nmi	window_500_max_nmi	window_1000_max_nmi	observed	null_mean	null_median	null_sd	null_p95	null_p99	null_max	exceedances	empirical_p	permutations
hand	contiguous_segmentation	ARI	purity_0.8	mean_across_scales	0.4465816679884799	0.45897226209012876	0.44074987085242856	0.5435748798490646	0.5848038087040341	0.49493649789682725	0.3771343399642845	0.3822433583769287	0.11522195221359374	0.5603392453213492	0.6375107499640875	0.7967306614004801	1420	0.14208579142085792	10000
hand	contiguous_segmentation	ARI	purity_0.8	min_across_scales	0.4465816679884799	0.45897226209012876	0.44074987085242856	0.5435748798490646	0.5848038087040341	0.44074987085242856	0.29894706310771696	0.29999085448080876	0.1021505442984497	0.46491707724028114	0.5446346883398254	0.7153607482353629	790	0.0790920907909209	10000
hand	hierarchical	ARI	purity_0.8	mean_across_scales	0.04796474828895695	0.042230229006543774	0.06404217040153598	0.7287752466954137	0.6701032477952213	0.31062312843753437	0.223729126263234	0.2275034069409395	0.0511299767457759	0.29995663485594604	0.3322616715747406	0.3966832128732346	286	0.028697130286971302	10000
hand	hierarchical	ARI	purity_0.8	min_across_scales	0.04796474828895695	0.042230229006543774	0.06404217040153598	0.7287752466954137	0.6701032477952213	0.042230229006543774	0.023038694127447946	0.0108715245652449	0.03130771844818649	0.08503523190258695	0.12970887094204342	0.1934266002721753	2311	0.23117688231176883	10000
hand	k_medoids	ARI	purity_0.8	mean_across_scales	0.41384554005047886	0.5036561711646338	0.6501469385359467	0.5250181679084898	0.5590947264908039	0.5303523088300707	0.29855583177044065	0.2763037418356251	0.1129410093604779	0.5485754998189438	0.6277595860508589	0.7200362276030134	637	0.06379362063793621	10000
hand	k_medoids	ARI	purity_0.8	min_across_scales	0.41384554005047886	0.5036561711646338	0.6501469385359467	0.5250181679084898	0.5590947264908039	0.41384554005047886	0.1672901253851631	0.15122742525431443	0.07719441203599005	0.33144026859525527	0.3884461209118131	0.4681635186814327	35	0.0035996400359964	10000
hand	contiguous_segmentation	NMI	purity_0.9	mean_across_scales	0.5487369739861082	0.5469557557927474	0.5891419141841387	0.6600863416474798	0.7136254963721926	0.6117092963965334	0.49959797128457556	0.5105059559397684	0.08937521689522837	0.6268404401068051	0.670108806130802	0.7713853707767877	804	0.08049195080491951	10000
hand	contiguous_segmentation	NMI	purity_0.9	min_across_scales	0.5487369739861082	0.5469557557927474	0.5891419141841387	0.6600863416474798	0.7136254963721926	0.5469557557927474	0.4281145538707814	0.43371982177161966	0.07788530989778326	0.5437631186000725	0.5856048593896794	0.676056018237917	452	0.045295470452954706	10000
hand	hierarchical	NMI	purity_0.9	mean_across_scales	0.13155770850929008	0.15745815444040367	0.20976412213546394	0.7695520432290576	0.7729455634067087	0.4082555183441848	0.312954456798151	0.3187349094096519	0.04866906570294892	0.3820706033728096	0.40320422401958267	0.4391994451589191	53	0.0053994600539946005	10000
hand	hierarchical	NMI	purity_0.9	min_across_scales	0.13155770850929008	0.15745815444040367	0.20976412213546394	0.7695520432290576	0.7729455634067087	0.13155770850929008	0.08176729226000305	0.07579038393763962	0.025557254508505923	0.12708479269010614	0.13856769400809546	0.17027702501016015	287	0.0287971202879712	10000
hand	k_medoids	NMI	purity_0.9	mean_across_scales	0.42140851978553096	0.5824493315921818	0.6607358377921229	0.701454920336115	0.7539579374050207	0.6240013093821943	0.39797853113276094	0.4009681416044525	0.07226286707122746	0.5099712470310888	0.5628497778291661	0.6500678313263001	7	0.0007999200079992001	10000
hand	k_medoids	NMI	purity_0.9	min_across_scales	0.42140851978553096	0.5824493315921818	0.6607358377921229	0.701454920336115	0.7539579374050207	0.42140851978553096	0.19652574935315575	0.19479092967231776	0.04872241568250691	0.2794301115202067	0.311000682693177	0.4028301300212965	0	9.999000099990002e-05	10000
hand	contiguous_segmentation	ARI	purity_0.9	mean_across_scales	0.45054489865445296	0.4678613474035756	0.46553007657422374	0.5854607698323662	0.6398315030436976	0.5218457191016632	0.40148519584367326	0.40870377083234694	0.12076622268751241	0.5888229367729533	0.665645089705343	0.8187690321122263	1474	0.1474852514748525	10000
hand	contiguous_segmentation	ARI	purity_0.9	min_across_scales	0.45054489865445296	0.4678613474035756	0.46553007657422374	0.5854607698323662	0.6398315030436976	0.45054489865445296	0.3032118147613702	0.3048959368452405	0.10368614715569312	0.4706702436470789	0.5515944974086469	0.7225996269861829	729	0.072992700729927	10000
hand	hierarchical	ARI	purity_0.9	mean_across_scales	0.04796973378017445	0.04109715004648773	0.06399614678126109	0.765150878600197	0.733119563640636	0.3302666945697513	0.24055199757020276	0.2459217353653776	0.05496821493993906	0.3196265736474744	0.3487301418378763	0.405072073319883	291	0.029197080291970802	10000
hand	hierarchical	ARI	purity_0.9	min_across_scales	0.04796973378017445	0.04109715004648773	0.06399614678126109	0.765150878600197	0.733119563640636	0.04109715004648773	0.023489345198188627	0.010945409329869944	0.03202744200997453	0.08639727366671618	0.13357871229188845	0.19609083619505305	2456	0.24567543245675433	10000
hand	k_medoids	ARI	purity_0.9	mean_across_scales	0.4154027513439211	0.5033900984447407	0.6485210732231556	0.5300402713718697	0.5985891060336003	0.5391886600834574	0.31433820122702644	0.29084495459651405	0.11868065755468278	0.5785526704781747	0.654344635646588	0.7471976367131467	773	0.07739226077392261	10000
hand	k_medoids	ARI	purity_0.9	min_across_scales	0.4154027513439211	0.5033900984447407	0.6485210732231556	0.5300402713718697	0.5985891060336003	0.4154027513439211	0.1691247725892028	0.1528567437833881	0.07814739688703097	0.33500005440172964	0.3927096111602144	0.47167698466268976	43	0.004399560043995601	10000
