position	scale_support	mean_jump	uncertainty	nearest_folio	distance_folio	nearest_paragraph	distance_paragraph	nearest_currier_transition	distance_currier	nearest_hand_transition	distance_hand	nearest_quire	distance_quire	nearest_known_metadata_distance
11198	3	0.09217239208493755	13.33333333333394	11202	4	11202	4	10164	1034	11250	52	11712	514	4
3948	3	0.09216437429255453	13.333333333333485	3953	5	3953	5	4145	197	4145	197	4038	90	5
7270	3	0.09207834444211496	20	7306	36	7249	21	7306	36	7306	36	6886	384	21
11532	3	0.09205925471800326	18.33333333333394	11598	66	11481	51	10164	1368	11712	180	11712	180	51
10538	3	0.09165052464044779	21.66666666666606	10449	89	10589	51	10164	374	10449	89	10164	374	51
36227	3	0.0915878895211885	13.333333333335759	36262	35	36262	35	30820	5407	37600	1373	28131	8096	35
29953	3	0.09155251980164311	6.666666666667879	30042	89	29951	2	30042	89	28131	1822	28131	1822	2
27915	3	0.09148473211508507	10	28003	88	27910	5	26407	1508	28131	216	28131	216	5
26758	3	0.09136030426694508	8.33333333333212	26741	17	26752	6	26407	351	26407	351	26547	211	6
12600	3	0.09134050933009502	20	12626	26	12615	15	10164	2436	11712	888	12826	226	15
