block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G2/generic#0	G2/generic#6	44	31	27	0.5625	0.7033419349	0
G2/generic#0	G3/generic#6	44	26	13	0.2280701754	0.3814224748	0
G2/generic#0	G0/generic#7	44	34	21	0.3684210526	0.5483014808	0
G2/generic#0	G1/generic#7	44	35	19	0.3166666667	0.5191742473	0
G2/generic#0	G2/generic#7	44	24	13	0.2363636364	0.3882017094	0
G2/generic#0	G3/generic#7	44	28	19	0.358490566	0.5151993909	1
G2/generic#0	G0/generic#8	44	22	20	0.4347826087	0.637330789	0
G2/generic#0	G1/generic#8	44	27	22	0.4489795918	0.591431595	0
G2/generic#0	G2/generic#8	44	15	12	0.2553191489	0.4492864032	0
G2/generic#0	G3/generic#8	44	33	24	0.4528301887	0.6294226008	0
G2/generic#0	G0/generic#9	44	19	17	0.3695652174	0.5574152808	0
G2/generic#0	G1/generic#9	44	29	23	0.46	0.6048905276	0
G2/generic#0	G2/generic#9	44	38	30	0.5769230769	0.7043283548	0
G2/generic#0	G3/generic#9	44	43	28	0.4745762712	0.6241775197	0
G2/generic#0	G0/generic#10	44	39	24	0.406779661	0.6069999954	0
G2/generic#0	G1/generic#10	44	24	19	0.387755102	0.5657684982	0
G2/generic#0	G2/generic#10	44	23	17	0.34	0.5135033964	0
G2/generic#0	G3/generic#10	44	48	28	0.4375	0.6190128039	0
G2/generic#0	G0/generic#11	44	41	27	0.4655172414	0.6244164774	0
G2/generic#0	G1/generic#11	44	26	20	0.4	0.5482342328	0
G2/generic#0	G2/generic#11	44	37	12	0.1739130435	0.2957162543	0
G2/generic#0	G3/generic#11	44	50	31	0.4920634921	0.651692719	0
G2/generic#0	G0/generic#12	44	46	32	0.5517241379	0.6837940683	0
G2/generic#0	G1/generic#12	44	33	27	0.54	0.7132288843	0
G2/generic#0	G2/generic#12	44	38	28	0.5185185185	0.6927889205	1
G2/generic#0	G3/generic#12	44	52	38	0.6551724138	0.8008702911	0
G2/generic#0	G0/generic#13	44	43	29	0.5	0.6226235934	0
G2/generic#0	G1/generic#13	44	50	34	0.5666666667	0.7343877513	0
G2/generic#0	G2/generic#13	44	31	24	0.4705882353	0.6317101196	0
G2/generic#0	G3/generic#13	44	33	27	0.54	0.6836434282	0
G2/generic#0	G0/generic#14	44	53	33	0.515625	0.6565195634	0
G2/generic#0	G1/generic#14	44	40	19	0.2923076923	0.4524393342	0
G2/generic#0	G2/generic#14	44	47	32	0.5423728814	0.6760258112	0
G2/generic#0	G3/generic#14	44	32	21	0.3818181818	0.4893378102	0
G2/generic#0	G0/generic#15	44	48	25	0.3731343284	0.5259998666	0
G2/generic#0	G1/generic#15	44	56	31	0.4492753623	0.5963405219	0
G2/generic#0	G2/generic#15	44	47	31	0.5166666667	0.6396718102	0
G2/generic#0	G3/generic#15	44	12	12	0.2727272727	0.511806391	0
G3/generic#0	G0/generic#1	38	40	24	0.4444444444	0.5850333254	0
G3/generic#0	G1/generic#1	38	37	25	0.5	0.6355798403	0
G3/generic#0	G2/generic#1	38	32	24	0.5217391304	0.6861178229	0
G3/generic#0	G3/generic#1	38	26	18	0.3913043478	0.5891917321	0
G3/generic#0	G0/generic#2	38	49	33	0.6111111111	0.7766089633	1
G3/generic#0	G1/generic#2	38	39	26	0.5098039216	0.6622397892	0
G3/generic#0	G2/generic#2	38	41	24	0.4363636364	0.5638486941	0
G3/generic#0	G3/generic#2	38	60	32	0.4848484848	0.632037945	0
G3/generic#0	G0/generic#3	38	45	23	0.3833333333	0.529761005	0
G3/generic#0	G1/generic#3	38	47	30	0.5454545455	0.6336434628	0
G3/generic#0	G2/generic#3	38	44	24	0.4137931034	0.6056003034	0
G3/generic#0	G3/generic#3	38	39	31	0.6739130435	0.8007270971	0
G3/generic#0	G0/generic#4	38	34	20	0.3846153846	0.5878071814	0
G3/generic#0	G1/generic#4	38	42	30	0.6	0.7582960958	0
G3/generic#0	G2/generic#4	38	37	21	0.3888888889	0.5142262695	0
G3/generic#0	G3/generic#4	38	35	25	0.5208333333	0.7094475577	0
G3/generic#0	G0/generic#5	38	38	16	0.2666666667	0.4408946009	1
G3/generic#0	G1/generic#5	38	31	22	0.4680851064	0.5946315254	0
G3/generic#0	G2/generic#5	38	10	7	0.1707317073	0.3460835134	0
G3/generic#0	G3/generic#5	38	25	17	0.3695652174	0.6173055127	0
G3/generic#0	G0/generic#6	38	40	30	0.625	0.7600511855	0
G3/generic#0	G1/generic#6	38	29	18	0.3673469388	0.5669957686	0
G3/generic#0	G2/generic#6	38	31	21	0.4375	0.6020034035	0
G3/generic#0	G3/generic#6	38	26	16	0.3333333333	0.4858885205	0
G3/generic#0	G0/generic#7	38	34	24	0.5	0.6368112852	0
G3/generic#0	G1/generic#7	38	35	23	0.46	0.6251393768	0
G3/generic#0	G2/generic#7	38	24	15	0.3191489362	0.4735919124	0
G3/generic#0	G3/generic#7	38	28	17	0.3469387755	0.5268759175	0
