window_size	method	k	representation	windows	silhouette	within_dispersion	between_dispersion	cluster_size_entropy	smallest_cluster_fraction
100	k_medoids	7	standardized	1922	0.139032739139786	79477.85570429995	100081.68274857552	0.21544937487852714	0.004682622268470343
100	k_medoids	8	standardized	1922	0.21311794408182183	79268.73867406322	103171.61675015127	0.2271627174463771	0.004682622268470343
100	k_medoids	9	standardized	1922	0.21733929751208805	79078.37179993985	102469.06842107046	0.2622067628734658	0.004682622268470343
100	k_medoids	10	standardized	1922	0.2131435479737644	78901.0433908053	101756.81823822718	0.28051267609838226	0.003121748178980229
100	k_medoids	11	standardized	1922	0.13199387305759805	78967.14398681196	97023.67745077347	0.3307297848985175	0.003121748178980229
100	k_medoids	12	standardized	1922	0.21642034878758992	78549.03366572315	100628.17067901266	0.34778581787671803	0.003121748178980229
100	k_medoids	13	standardized	1922	0.1699638347919093	78523.41139112764	97434.88268514266	0.3925479529233688	0.003121748178980229
100	k_medoids	14	standardized	1922	0.2182507609848802	78214.70376534373	99645.57000843284	0.4069064593909443	0.003121748178980229
100	k_medoids	15	standardized	1922	0.21707898402881085	78055.24028647802	99184.50434337533	0.4391046966595276	0.003121748178980229
200	k_medoids	2	standardized	853	0.2211121644420319	59594.02178965535	76498.13418241814	0.10676306663428503	0.022274325908558032
200	k_medoids	3	standardized	853	0.22547875642170565	59026.122088452525	76571.69791407308	0.17192007237262702	0.016412661195779603
200	k_medoids	4	standardized	853	-0.08831450605473647	58927.76985769655	63838.509158389286	0.3778998791130182	0.012895662368112544
200	k_medoids	5	standardized	853	0.14136165493813238	58214.3714595265	72838.52833675443	0.3518729600387662	0.016412661195779603
200	k_medoids	6	standardized	853	0.12635120062380262	57912.74270512542	72523.34793371192	0.35277696793712393	0.004689331770222743
200	k_medoids	7	standardized	853	0.12855914277913036	57498.45505327947	71645.86082587054	0.43533967193570017	0.004689331770222743
200	k_medoids	8	standardized	853	0.12949876443816316	57252.722833037304	71165.43795623649	0.4751923971454944	0.005861664712778429
200	k_medoids	9	standardized	853	0.04549178242755686	56878.052183431035	66547.7399192827	0.8338987053661105	0.010550996483001172
200	k_medoids	10	standardized	853	0.09695473279419825	56461.281920288435	69784.21700051504	0.5898366941553256	0.004689331770222743
200	k_medoids	11	standardized	853	0.10798089877479597	56305.70602427874	69373.77530190781	0.7051398081983612	0.005861664712778429
200	k_medoids	12	standardized	853	0.09970663782551582	55827.526524238114	68670.57877884243	0.7620982787098088	0.004689331770222743
200	k_medoids	13	standardized	853	0.09213952928979095	55729.37669731494	67976.38650963508	0.8534719977558968	0.005861664712778429
200	k_medoids	14	standardized	853	0.05450639368463738	55132.934788216226	64741.88327636472	1.191650088387536	0.004689331770222743
200	k_medoids	15	standardized	853	0.057451408259974815	54643.91123382816	61833.171783800375	1.6782220335606335	0.004689331770222743
