scheme	class	window_size	method	k	cluster	held_out_separation	cv_folds	blocks_containing	total_blocks	block_fraction	eligible_blocks_for_scale	recurrence_strength	cross_block_similarity
currier_only	3	100	k_medoids	10	0	0.042550191340237874	3	1	1	1	1	1	0
currier_only	3	100	k_medoids	10	1	0.042550191340237874	3	1	1	1	1	1	0
currier_only	3	100	k_medoids	10	2	0.042550191340237874	3	1	1	1	1	1	0
currier_only	3	100	k_medoids	10	3	0.042550191340237874	3	1	1	1	1	1	0
currier_only	3	100	k_medoids	10	4	0.042550191340237874	3	1	1	1	1	1	0
currier_only	3	100	k_medoids	10	5	0.042550191340237874	3	1	1	1	1	1	0
currier_only	3	100	k_medoids	10	6	0.042550191340237874	3	1	1	1	1	1	0
currier_only	3	100	k_medoids	10	7	0.042550191340237874	3	1	1	1	1	1	0
currier_only	3	100	k_medoids	10	8	0.042550191340237874	3	1	1	1	1	1	0
currier_only	3	100	k_medoids	10	9	0.042550191340237874	3	1	1	1	1	1	0
currier_only	3	200	hierarchical	4	0	0.055920714287161215	3	1	1	1	1	1	0
currier_only	3	200	hierarchical	4	1	0.055920714287161215	3	1	1	1	1	1	0
currier_only	3	200	hierarchical	4	2	0.055920714287161215	3	1	1	1	1	1	0
currier_only	3	200	hierarchical	4	3	0.055920714287161215	3	1	1	1	1	1	0
currier_only	3	200	k_medoids	5	0	0.06684557400311819	3	1	1	1	1	1	0
currier_only	3	200	k_medoids	5	1	0.06684557400311819	3	1	1	1	1	1	0
currier_only	3	200	k_medoids	5	2	0.06684557400311819	3	1	1	1	1	1	0
currier_only	3	200	k_medoids	5	3	0.06684557400311819	3	1	1	1	1	1	0
currier_only	3	200	k_medoids	5	4	0.06684557400311819	3	1	1	1	1	1	0
currier_only	3	50	hierarchical	10	0	0.040495488926771094	3	1	1	1	1	1	0
currier_only	3	50	hierarchical	10	1	0.040495488926771094	3	1	1	1	1	1	0
currier_only	3	50	hierarchical	10	2	0.040495488926771094	3	1	1	1	1	1	0
currier_only	3	50	hierarchical	10	3	0.040495488926771094	3	1	1	1	1	1	0
currier_only	3	50	hierarchical	10	4	0.040495488926771094	3	1	1	1	1	1	0
currier_only	3	50	hierarchical	10	5	0.040495488926771094	3	1	1	1	1	1	0
currier_only	3	50	hierarchical	10	6	0.040495488926771094	3	1	1	1	1	1	0
currier_only	3	50	hierarchical	10	7	0.040495488926771094	3	1	1	1	1	1	0
currier_only	3	50	hierarchical	10	8	0.040495488926771094	3	1	1	1	1	1	0
currier_only	3	50	hierarchical	10	9	0.040495488926771094	3	1	1	1	1	1	0
currier_only	3	50	k_medoids	10	0	0.0458930451235367	3	1	1	1	1	1	0
currier_only	3	50	k_medoids	10	1	0.0458930451235367	3	1	1	1	1	1	0
currier_only	3	50	k_medoids	10	2	0.0458930451235367	3	1	1	1	1	1	0
currier_only	3	50	k_medoids	10	3	0.0458930451235367	3	1	1	1	1	1	0
currier_only	3	50	k_medoids	10	4	0.0458930451235367	3	1	1	1	1	1	0
currier_only	3	50	k_medoids	10	5	0.0458930451235367	3	1	1	1	1	1	0
currier_only	3	50	k_medoids	10	6	0.0458930451235367	3	1	1	1	1	1	0
currier_only	3	50	k_medoids	10	7	0.0458930451235367	3	1	1	1	1	1	0
currier_only	3	50	k_medoids	10	8	0.0458930451235367	3	1	1	1	1	1	0
currier_only	3	50	k_medoids	10	9	0.0458930451235367	3	1	1	1	1	1	0
currier_only	X	100	hierarchical	8	0	0.02517309772960785	2	1	2	0.5	2	0.5	0
currier_only	X	100	hierarchical	8	1	0.02517309772960785	2	1	2	0.5	2	0.5	0
currier_only	X	100	hierarchical	8	2	0.02517309772960785	2	1	2	0.5	2	0.5	0
currier_only	X	100	hierarchical	8	3	0.02517309772960785	2	1	2	0.5	2	0.5	0
currier_only	X	100	hierarchical	8	4	0.02517309772960785	2	1	2	0.5	2	0.5	0
currier_only	X	100	hierarchical	8	5	0.02517309772960785	2	1	2	0.5	2	0.5	0
currier_only	X	100	hierarchical	8	6	0.02517309772960785	2	1	2	0.5	2	0.5	0
currier_only	X	100	hierarchical	8	7	0.02517309772960785	2	1	2	0.5	2	0.5	0
