token	block	direction	conditional_entropy	effective_successor_predecessor_count	baseline_entropy	entropy_effect	eligible
sheol	1/1#0	outgoing	6.284969958	536.4481742	5.215136627	1.069833331	true
shey	1/1#0	outgoing	6.268838004	527.8636461	5.215136627	1.053701377	true
sho	1/1#0	outgoing	6.217402824	501.3993172	5.215136627	1.002266197	true
shody	1/1#0	outgoing	6.267189959	526.9944191	5.215136627	1.052053332	true
shol	1/1#0	outgoing	6.19007124	487.8808616	5.215136627	0.9749346131	true
shor	1/1#0	outgoing	6.237797565	511.7302165	5.215136627	1.022660939	true
shy	1/1#0	outgoing	6.25043331	518.2373336	5.215136627	1.035296684	true
sol	1/1#0	outgoing	6.282643573	535.2016402	5.215136627	1.067506947	true
sor	1/1#0	outgoing	6.278081712	532.7656851	5.215136627	1.062945085	true
sy	1/1#0	outgoing	6.271460555	529.2498123	5.215136627	1.056323928	true
taiin	1/1#0	outgoing	6.284969958	536.4481742	5.215136627	1.069833331	true
tchey	1/1#0	outgoing	6.284969958	536.4481742	5.215136627	1.069833331	true
tchol	1/1#0	outgoing	6.275845478	531.5756276	5.215136627	1.060708852	true
tchor	1/1#0	outgoing	6.275845478	531.5756276	5.215136627	1.060708852	true
tchy	1/1#0	outgoing	6.269311143	528.1134581	5.215136627	1.054174517	true
ty	1/1#0	outgoing	6.271006512	529.0095643	5.215136627	1.055869885	true
y	1/1#0	outgoing	6.212510334	498.9522171	5.215136627	0.997373707	true
ychol	1/1#0	outgoing	6.277686712	532.5552842	5.215136627	1.062550085	true
ychor	1/1#0	outgoing	6.273203889	530.173276	5.215136627	1.058067262	true
ydaiin	1/1#0	outgoing	6.280347619	533.974251	5.215136627	1.065210992	true
ykchy	1/1#0	outgoing	6.273638548	530.4037704	5.215136627	1.058501921	true
ykeey	1/1#0	outgoing	6.2754305	531.3550806	5.215136627	1.060293873	true
ykol	1/1#0	outgoing	6.280347619	533.974251	5.215136627	1.065210992	true
yky	1/1#0	outgoing	6.280347619	533.974251	5.215136627	1.065210992	true
ytaiin	1/1#0	outgoing	6.280347619	533.974251	5.215136627	1.065210992	true
ytchor	1/1#0	outgoing	6.280347619	533.974251	5.215136627	1.065210992	true
ytchy	1/1#0	outgoing	6.278081712	532.7656851	5.215136627	1.062945085	true
ytol	1/1#0	outgoing	6.280347619	533.974251	5.215136627	1.065210992	true
ytor	1/1#0	outgoing	6.280347619	533.974251	5.215136627	1.065210992	true
yty	1/1#0	outgoing	6.277686712	532.5552842	5.215136627	1.062550085	true
aiin	1/1#0	incoming	6.251228235	518.6494569	5.215136627	1.036091608	true
ar	1/1#0	incoming	6.268838004	527.8636461	5.215136627	1.053701377	true
chaiin	1/1#0	incoming	6.253103471	519.6229597	5.215136627	1.037966844	true
chal	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
chan	1/1#0	incoming	6.275845478	531.5756276	5.215136627	1.060708852	true
char	1/1#0	incoming	6.262502151	524.5297521	5.215136627	1.047365524	true
chckhy	1/1#0	incoming	6.257906638	522.124799	5.215136627	1.042770011	true
chcthy	1/1#0	incoming	6.266886539	526.8345432	5.215136627	1.051749913	true
chear	1/1#0	incoming	6.269311143	528.1134581	5.215136627	1.054174517	true
cheey	1/1#0	incoming	6.275845478	531.5756276	5.215136627	1.060708852	true
cheor	1/1#0	incoming	6.258440931	522.403841	5.215136627	1.043304304	true
chey	1/1#0	incoming	6.246133353	516.0137196	5.215136627	1.030996727	true
cho	1/1#0	incoming	6.258980616	522.6858507	5.215136627	1.043843989	true
chocthy	1/1#0	incoming	6.275845478	531.5756276	5.215136627	1.060708852	true
chodaiin	1/1#0	incoming	6.265096653	525.8924127	5.215136627	1.049960026	true
chody	1/1#0	incoming	6.266698009	526.7352282	5.215136627	1.051561382	true
chol	1/1#0	incoming	6.083895229	438.7348434	5.215136627	0.8687586024	true
chor	1/1#0	incoming	6.137366462	462.8330761	5.215136627	0.9222298355	true
choty	1/1#0	incoming	6.275845478	531.5756276	5.215136627	1.060708852	true
chy	1/1#0	incoming	6.207388095	496.4029993	5.215136627	0.9922514686	true
ckhy	1/1#0	incoming	6.273638548	530.4037704	5.215136627	1.058501921	true
cthaiin	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
cthar	1/1#0	incoming	6.268374476	527.6190229	5.215136627	1.053237849	true
