token	block	direction	counterpart	raw_count	probability	log2_enrichment
x000052	G0/generic#0	incoming	x007182	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x007412	1	0.0046875	-0.1013770204
x000052	G0/generic#0	incoming	x007413	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x007414	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x007415	0	0.0015625	-1.686339521
x000052	G0/generic#0	incoming	x007528	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x007529	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x007530	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x007532	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x007615	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x007640	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x007641	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x007642	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x007643	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x007903	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x007956	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x007957	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008093	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008094	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008095	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008132	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008133	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008134	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008135	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008148	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008224	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008226	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x008227	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008448	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x008449	0	0.0015625	-2.0489096
x000052	G0/generic#0	incoming	x008450	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x008451	0	0.0015625	-1.686339521
x000052	G0/generic#0	incoming	x008484	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008485	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008486	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008516	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008517	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008518	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008519	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008631	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x008644	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x008645	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008646	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x008647	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008688	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008689	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x008690	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x008691	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008704	0	0.0015625	-2.579424317
x000052	G0/generic#0	incoming	x008705	0	0.0015625	-1.686339521
x000052	G0/generic#0	incoming	x008706	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x008707	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x008711	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008738	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008744	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008836	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008837	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008838	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008839	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008844	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008845	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008846	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008847	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008916	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008917	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x008918	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008919	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x008923	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008944	0	0.0015625	-1.686339521
x000052	G0/generic#0	incoming	x008945	0	0.0015625	-2.338416218
x000052	G0/generic#0	incoming	x008946	0	0.0015625	-1.686339521
x000052	G0/generic#0	incoming	x008947	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x008996	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008997	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x008998	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x008999	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009110	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009111	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009124	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009125	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009126	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009127	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009128	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009129	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009130	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x009131	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009248	0	0.0015625	-2.96644744
x000052	G0/generic#0	incoming	x009249	0	0.0015625	-2.785875195
x000052	G0/generic#0	incoming	x009250	0	0.0015625	-2.0489096
x000052	G0/generic#0	incoming	x009251	0	0.0015625	-2.785875195
x000052	G0/generic#0	incoming	x009280	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009281	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009282	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009283	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009436	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x009437	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x009438	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x009439	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x009856	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009857	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x009858	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009859	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x009968	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x009969	1	0.0046875	-0.1013770204
x000052	G0/generic#0	incoming	x009970	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x009971	0	0.0015625	-2.0489096
x000052	G0/generic#0	incoming	x010008	0	0.0015625	-1.686339521
x000052	G0/generic#0	incoming	x010009	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x010010	0	0.0015625	-1.686339521
x000052	G0/generic#0	incoming	x010011	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x010124	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010125	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010126	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010127	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x010164	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010165	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010167	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010316	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010317	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x010318	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010319	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010484	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x010485	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x010486	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010524	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010638	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x010639	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010694	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010695	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010760	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010761	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010780	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010781	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010782	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010783	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x010892	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010893	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x010894	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010895	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010976	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010977	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x010978	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x010984	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010985	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010987	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010988	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x010989	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011188	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x011190	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x011191	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011229	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011230	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011231	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011260	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011261	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011262	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x011263	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x011445	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011447	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x011460	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011461	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011462	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011463	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x011476	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x011477	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x011478	0	0.0015625	-1.686339521
x000052	G0/generic#0	incoming	x011479	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011579	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011684	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011685	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011686	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011687	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011716	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x011760	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011761	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011763	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011932	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011933	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011934	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011935	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x011960	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011962	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011963	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x011979	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x012036	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012037	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012038	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012039	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012041	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012044	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012045	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012046	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012047	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012100	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012101	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012102	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012103	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012120	0	0.0015625	-0.4639470998
x000052	G0/generic#0	incoming	x012121	0	0.0015625	-2.0489096
x000052	G0/generic#0	incoming	x012122	0	0.0015625	-2.0489096
x000052	G0/generic#0	incoming	x012123	0	0.0015625	-1.200912694
x000052	G0/generic#0	incoming	x012124	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012126	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012127	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012154	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012332	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012334	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012335	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012368	0	0.0015625	1.121015401
x000052	G0/generic#0	incoming	x012369	0	0.0015625	1.121015401
