source	target	global_count	eligible_blocks	positive_blocks	negative_blocks	neutral_blocks	joint_classes	currier_classes	hands	joint_class_ids	currier_ids	hand_ids	median_log2_enrichment	mean_log2_enrichment	between_block_sd	sign	sign_consistency	tested_blocks	successful_sign_predictions	transfer_fraction	empirical_p	fdr_q	permutations	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000053	x008134	2	23	20	3	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.633721813	1.411311391	0.75312681	preferred	0.8695652174	23	20	0.8695652174	1	1	1000	0	0.05405225772	EXPECTED_FROM_NULL
x000053	x008224	2	23	22	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.63039393	1.406483943	0.6504136828	preferred	0.9565217391	23	22	0.9565217391	0.03896103896	0.2386582028	1000	1	0.05853128329	EXPECTED_FROM_NULL
x000053	x008226	1	23	22	1	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.577428828	1.199749703	0.7197673013	preferred	0.9565217391	23	22	0.9565217391	1	1	1000	0	0.0668411546	EXPECTED_FROM_NULL
x000053	x008227	2	23	23	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.62631176	1.475395356	0.5288790788	preferred	1	23	23	1	0.06193806194	0.2746993266	1000	1	0.05600927148	EXPECTED_FROM_NULL
x000053	x008517	1	23	21	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.658211483	1.37444196	0.7508371006	preferred	0.9130434783	23	21	0.9130434783	0.01198801199	0.1915277705	1000	1	0.05718713305	EXPECTED_FROM_NULL
x000053	x010486	1	23	21	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.571373436	1.13083829	0.7771294708	preferred	0.9130434783	23	21	0.9130434783	0.07892107892	0.2998781469	1000	1	0.07265458951	EXPECTED_FROM_NULL
x000053	x010892	5	23	20	3	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.614526958	1.199235554	0.9459249238	preferred	0.8695652174	23	20	0.8695652174	0.05094905095	0.2568132974	1000	0.5	0.05733057646	EXPECTED_FROM_NULL
x000053	x010893	1	23	21	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.614526958	1.268661116	0.7057879104	preferred	0.9130434783	23	21	0.9130434783	0.06493506494	0.277625348	1000	1	0.06477539194	EXPECTED_FROM_NULL
x000053	x010894	1	23	21	2	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.601348475	1.236619134	0.7701087091	preferred	0.9130434783	23	21	0.9130434783	0.07692307692	0.2972473071	1000	1	0.06382874035	EXPECTED_FROM_NULL
x000053	x010895	2	23	23	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.62631176	1.475395356	0.5373584035	preferred	1	23	23	1	1	1	1000	0	0.05600927148	EXPECTED_FROM_NULL
x000053	x010976	1	23	23	0	0	4	4	1	G0/generic,G1/generic,G2/generic,G3/generic	G0,G1,G2,G3	generic	1.658211483	1.613218182	0.3649716739	preferred	1	23	23	1	0.01559844016	0.1915277705	10000	1	0.0512242051	EXPECTED_FROM_NULL
